code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
2001,新 和 成,化学制药,浙江,16.75,21.21,21.49,293.95,129.04,81.07,45.28,2.11,1.029,8.38,4.12,20040625.0,103.14,4.8,36.79,91.41,59.68,41.81,78500.0,0.0
300433,蓝思科技,元器件,湖南,41.65,43.69,43.84,510.31,187.2,251.13,63.5,1.45,0.436,5.55,6.54,20150318.0,119.35,2.72,37.05,1322.42,27.65,12.28,112611.0,0.0
603758,秦安股份,汽车配件,重庆,10.12,4.39,4.39,29.18,18.18,8.64,7.39,1.68,0.5720000000000001,6.11,1.9,20170517.0,13.81,3.15,41.82,541.0,20.31,78.35,15008.0,0.0
603089,正裕工业,汽车配件,浙江,57.41,2.09,2.09,16.95,7.66,4.93,2.42,1.16,0.112,3.75,3.42,20170126.0,2.78,1.33,-13.08,-55.17,28.33,4.96,8842.0,0.0
600339,中油工程,石油加工,新疆,31.17,55.83,55.83,990.39,913.07,50.01,143.65,2.57,0.049,4.26,0.72,20001225.0,32.02,0.57,32.61,244.56,6.36,0.97,63470.0,0.0
600984,建设机械,工程机械,陕西,80.65,7.86,9.67,126.18,61.79,51.85,39.16,4.05,0.18,5.6,4.8,20040707.0,5.1,0.53,9.73,-14.16,36.74,10.52,13331.0,0.0
300568,星源材质,化工原料,深圳,64.84,3.59,4.49,54.29,16.51,18.99,18.55,4.14,0.17,6.41,3.22,20161201.0,5.4,1.2,-3.39,-58.44,45.0,20.93,24226.0,0.0
2664,长鹰信质,汽车配件,浙江,40.17,3.9,4.0,45.47,31.76,4.74,4.39,1.1,0.234,6.26,3.01,20120316.0,14.97,3.74,-3.65,-29.59,19.88,7.97,21344.0,0.0
300368,汇金股份,IT设备,河北,331.2,5.1,5.32,27.24,17.25,3.01,1.25,0.24,0.036000000000000004,1.61,14.8,20140123.0,1.92,0.36,84.24,71.35,22.18,3.31,49150.0,0.0
2889,东方嘉盛,仓储物流,深圳,19.07,0.9,1.38,122.59,118.77,2.09,4.84,3.51,0.718,11.93,2.3,20170731.0,9.5,6.88,-51.69,22.45,6.5,3.39,13973.0,0.0
603035,常熟汽饰,汽车配件,江苏,21.24,3.12,3.12,67.73,21.41,17.61,11.62,3.72,0.43,9.65,1.71,20170105.0,11.65,3.73,22.14,-11.77,23.38,13.3,21000.0,0.0
300115,长盈精密,元器件,深圳,50.56,9.06,9.1,100.81,56.84,33.35,12.89,1.42,0.252,4.97,5.12,20100902.0,21.02,2.31,1.2,91.1,25.67,5.72,73391.0,0.0
519,中兵红箭,矿物制品,湖南,43.84,13.91,13.93,112.27,74.61,22.27,36.69,2.63,0.131,5.98,1.92,19931008.0,31.15,2.24,5.13,13.22,19.42,7.88,120500.0,0.0
2845,同兴达,元器件,深圳,35.99,1.17,2.03,73.39,58.94,9.37,5.82,2.87,0.407,6.57,4.46,20170125.0,6.32,3.11,80.08,197.4,10.66,2.0,16000.0,0.0
300231,银信科技,软件服务,北京,29.22,3.6,4.42,24.55,18.13,1.54,6.21,1.41,0.21,2.86,4.04,20110615.0,3.42,0.77,40.38,22.07,22.45,9.63,36785.0,0.0
913,钱江摩托,摩托车,浙江,42.91,4.54,4.54,50.11,34.9,7.45,13.74,3.03,0.275,5.79,4.07,19990514.0,5.01,1.11,-19.9,41.13,28.55,8.23,12972.0,0.0
603345,安井食品,食品,福建,84.22,2.3,2.36,54.02,29.5,17.7,13.22,5.59,1.12,12.95,14.3,20170222.0,15.81,6.69,22.14,57.36,28.51,9.11,8420.0,0.0
300355,蒙草生态,环境保护,内蒙,50.42,13.08,16.04,160.27,61.83,4.31,2.81,0.17,0.039,2.44,1.59,20120927.0,16.39,1.02,-30.07,-25.47,30.67,6.83,59129.0,0.0
2472,双环传动,机械基件,浙江,2089.67,5.56,6.87,82.82,29.43,32.59,14.96,2.18,0.002,4.79,1.49,20100910.0,10.93,1.59,-5.29,-98.4,14.98,0.08,27441.0,0.0
2344,海宁皮城,商品城,浙江,19.34,12.74,12.83,112.0,25.54,3.87,16.21,1.26,0.123,5.99,0.8,20100126.0,43.74,3.41,0.28,-23.31,43.05,20.47,45902.0,0.0
2922,伊戈尔,电气设备,广东,71.17,0.65,1.35,14.54,8.01,5.3,5.13,3.8,0.112,6.83,2.33,20171229.0,2.13,1.58,-6.94,-19.53,23.62,2.83,12937.0,0.0
2829,星网宇达,通信设备,北京,121.02,0.86,1.57,15.4,9.17,2.22,3.94,2.51,0.195,5.83,8.1,20161213.0,3.63,2.31,58.18,1689.81,50.7,14.75,16166.0,0.0
300110,华仁药业,化学制药,山东,84.84,11.77,11.82,27.06,13.37,11.46,5.28,0.45,0.03,1.86,2.71,20100825.0,4.27,0.36,-17.61,170.83,48.53,5.99,48757.0,0.0
300593,新雷能,电气设备,北京,56.85,1.17,1.66,14.93,9.99,2.72,2.17,1.31,0.172,4.15,4.7,20170113.0,2.98,1.8,-15.14,2.52,46.86,9.26,15272.0,0.0
300035,中科电气,电气设备,湖南,48.52,4.25,6.42,25.5,13.15,3.88,8.59,1.34,0.093,3.07,2.94,20091225.0,4.63,0.72,-9.1,-27.93,38.25,16.4,30299.0,0.0
603486,科沃斯,家用电器,江苏,86.09,1.8,5.63,43.17,31.89,7.6,9.9,1.76,0.24,4.62,8.75,20180528.0,10.15,1.8,-1.05,0.47,40.15,5.5,14826.0,0.0
600178,东安动力,汽车配件,黑龙江,59.66,4.62,4.62,43.16,23.69,5.01,8.61,1.86,0.067,4.14,1.92,19981014.0,3.4,0.74,67.43,835.32,11.65,2.3,34410.0,0.0
300621,维业股份,装修装饰,深圳,65.62,1.98,2.08,27.47,24.51,1.11,2.98,1.43,0.096,4.65,2.72,20170316.0,4.04,1.94,-32.25,-66.73,14.05,2.42,10460.0,0.0
300230,永利股份,塑料,上海,28.06,5.55,8.16,46.3,25.31,7.62,12.33,1.51,0.107,3.78,1.59,20110615.0,8.68,1.06,-11.0,-39.24,26.47,6.38,28474.0,0.0
2098,浔兴股份,服饰,福建,29.46,3.58,3.58,22.18,11.51,6.08,3.08,0.86,0.103,1.83,3.3,20061222.0,-0.86,-0.24,-15.79,-18.69,40.11,4.91,25695.0,0.0
300436,广生堂,化学制药,福建,234.96,1.14,1.4,9.32,2.02,2.15,1.79,1.28,0.081,4.13,9.24,20150422.0,2.15,1.53,-19.33,0.32,64.06,6.56,16762.0,0.0
603507,振江股份,钢加工,江苏,66.16,0.8,1.28,32.07,12.96,13.96,9.67,7.55,0.28,10.9,3.31,20171106.0,3.41,2.67,39.49,265.69,22.4,3.88,7211.0,0.0
300421,力星股份,机械基件,江苏,46.69,1.86,2.42,13.91,6.57,5.3,7.08,2.92,0.085,4.63,1.72,20150217.0,1.22,0.5,-4.15,-31.37,21.32,6.14,12858.0,0.0
