code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
2678,珠江钢琴,文教休闲,广东,166.76,13.57,13.58,46.57,29.1,10.38,9.81,0.72,0.024,2.49,3.26,20120530.0,8.94,0.66,-35.61,-67.87,27.85,5.2,14423.0,0.0
2929,润建股份,通信设备,广西,35.92,0.77,2.21,54.18,41.27,1.93,14.06,6.37,0.408,13.32,2.2,20180301.0,11.32,5.13,6.63,2.68,15.79,5.24,28097.0,0.0
601106,中国一重,工程机械,黑龙江,213.91,65.38,68.58,362.06,260.37,64.57,96.18,1.4,0.008,1.62,2.01,20100209.0,-55.7,-0.81,54.7,9.94,10.53,0.61,307143.0,0.0
2332,仙琚制药,生物制药,浙江,36.39,9.05,9.16,60.19,30.25,15.7,8.52,0.93,0.224,3.34,4.88,20100112.0,10.95,1.2,-4.78,18.2,56.26,11.59,40000.0,0.0
2449,国星光电,半导体,广东,64.44,6.06,6.18,58.64,33.3,23.32,14.74,2.38,0.102,5.72,2.29,20100716.0,11.88,1.92,-19.75,-68.2,14.65,4.21,56700.0,0.0
2908,德生科技,元器件,广东,84.98,1.19,2.01,9.59,9.28,0.21,3.12,1.55,0.087,3.6,4.1,20171020.0,1.81,0.9,8.05,-35.96,44.19,8.72,22260.0,0.0
603260,合盛硅业,化工原料,浙江,30.8,3.65,9.38,179.12,39.88,105.87,20.24,2.16,0.479,9.31,3.17,20171030.0,55.83,5.95,-10.24,-31.29,26.44,10.74,26999.0,0.0
2357,富临运业,公路,四川,24.17,3.13,3.13,25.85,2.74,5.75,2.08,0.67,0.136,3.9,1.68,20100210.0,5.47,1.74,-40.87,-42.06,16.48,15.8,19768.0,0.0
600582,天地科技,工程机械,北京,12.23,41.39,41.39,378.35,276.43,43.58,16.94,0.41,0.135,4.18,0.79,20020515.0,108.08,2.61,-6.66,0.42,30.31,6.54,63744.0,0.0
600249,两面针,日用化工,广西,587.6,5.5,5.5,24.52,17.09,3.32,11.85,2.15,0.004,3.77,1.32,20040130.0,1.0,0.18,-51.79,-91.73,27.91,0.79,50716.0,0.0
600118,中国卫星,航空,北京,157.27,11.82,11.82,126.71,99.98,11.01,17.31,1.46,0.126,4.92,8.07,19970908.0,27.38,2.32,-12.94,-21.18,13.21,5.46,145553.0,0.0
300275,梅安森,软件服务,重庆,95.6,1.26,1.69,7.88,3.74,0.91,2.55,1.51,0.078,3.06,4.86,20111102.0,0.8,0.47,-2.54,-2.47,53.42,12.24,9100.0,0.0
2325,洪涛股份,装修装饰,深圳,128.4,9.43,12.49,122.83,87.49,14.53,9.14,0.73,0.013,2.47,1.34,20091222.0,7.69,0.62,-4.85,-79.73,19.07,0.89,47978.0,0.0
600329,中新药业,中成药,天津,21.79,5.66,7.74,80.97,52.94,11.4,13.53,1.75,0.418,7.09,2.57,20010606.0,28.69,3.71,-6.88,-6.75,41.94,9.83,36165.0,0.0
600278,东方创业,商贸代理,上海,45.42,5.22,7.12,170.77,132.72,10.06,17.43,2.45,0.11,7.45,1.34,20000712.0,15.43,2.17,-9.59,-31.65,5.0,0.46,27792.0,0.0
600776,东方通信,通信设备,浙江,261.49,9.56,12.56,38.76,30.49,1.92,8.97,0.71,0.029,2.48,6.05,19961126.0,8.28,0.66,-4.09,-28.67,8.26,3.19,153691.0,0.0
603000,人民网,互联网,北京,423.37,11.06,11.06,44.38,33.08,3.28,7.92,0.72,0.024,2.78,7.2,20120427.0,9.85,0.89,-10.31,-39.22,45.98,3.71,94054.0,0.0
600770,综艺股份,综合类,江苏,20.9,13.0,13.0,62.75,25.99,11.02,22.27,1.71,0.16,2.93,2.28,19961120.0,3.8,0.29,-11.02,1579.05,32.78,94.67,72589.0,0.0
2040,南 京 港,港口,江苏,25.95,4.84,4.84,46.44,6.48,22.32,15.39,3.18,0.129,5.62,1.19,20050325.0,6.15,1.27,4.2,-9.01,50.96,17.68,29136.0,0.0
601628,中国人寿,保险,北京,20.34,208.24,282.65,39660.33,0.0,365.25,551.85,1.95,1.07,14.44,3.04,20070109.0,1742.52,6.17,12.36,-18.79,0.0,5.94,148610.0,0.0
600137,浪莎股份,服饰,四川,99.99,0.97,0.97,6.54,5.15,0.71,3.42,3.52,0.093,5.18,3.6,19980416.0,0.51,0.52,-11.11,0.05,15.68,8.26,9833.0,0.0
2267,陕天然气,供气供热,陕西,14.94,11.12,11.12,127.52,21.95,73.11,12.46,1.12,0.227,5.45,1.24,20080813.0,28.46,2.56,-6.11,10.57,10.04,5.18,33699.0,0.0
603880,南卫股份,医疗保健,江苏,20.18,2.2,2.2,10.87,7.14,2.25,1.4,0.64,0.379,2.9,5.26,20170807.0,2.44,1.11,226.62,260.57,36.04,11.41,15434.0,0.0
300625,三雄极光,半导体,广东,33.87,1.38,2.8,29.25,22.97,3.48,12.08,4.32,0.251,7.97,2.14,20170317.0,6.52,2.33,-21.91,3.75,34.0,8.4,25686.0,0.0
949,新乡化纤,化纤,河南,75.33,12.57,12.58,86.81,31.43,48.72,16.93,1.35,0.023,3.02,1.13,19991021.0,6.1,0.49,-24.89,-57.87,17.92,1.55,69251.0,0.0
601611,中国核建,建筑工程,上海,27.1,26.25,26.5,1368.68,916.33,36.34,13.48,0.51,0.13,3.9,2.19,20160606.0,58.43,2.2,13.44,-1.65,8.46,1.27,98732.0,0.0
300666,江丰电子,元器件,浙江,169.01,1.7,2.23,18.84,10.54,3.86,4.14,1.86,0.19,4.14,14.94,20170615.0,2.53,1.13,53.56,196.11,30.9,7.66,43122.0,0.0
2561,徐家汇,百货,上海,42.44,3.92,4.16,25.8,16.3,5.32,5.24,1.26,0.101,5.26,1.64,20110303.0,10.36,2.49,-61.05,-63.01,37.5,10.84,27000.0,0.0
600123,兰花科创,煤炭开采,山西,20.16,11.42,11.42,260.78,51.05,77.45,2.12,0.19,0.128,9.2,0.56,19981217.0,67.34,5.89,-28.74,-73.12,35.92,4.99,62252.0,0.0
889,中嘉博创,通信设备,河北,251.42,8.7,9.36,38.97,19.4,0.89,17.69,1.89,0.014,2.49,2.77,19971218.0,-1.93,-0.21,-31.01,-84.63,13.78,1.15,38275.0,0.0
761,本钢板材,普钢,辽宁,26.25,34.75,38.75,627.1,327.18,249.52,123.43,3.19,0.066,5.1,0.68,19980115.0,25.62,0.66,-7.96,-43.81,7.86,1.15,54074.0,0.0
2733,雄韬股份,电气设备,深圳,115.53,3.3,3.5,44.63,29.84,4.57,12.21,3.49,0.09,6.68,3.11,20141203.0,7.05,2.01,-22.39,-62.35,18.31,2.98,39802.0,0.0
2478,常宝股份,钢加工,江苏,11.17,5.99,9.6,70.04,35.86,18.48,13.87,1.45,0.234,4.85,1.08,20100921.0,19.45,2.03,-29.54,-32.82,22.84,11.55,23955.0,0.0
300651,金陵体育,文教休闲,江苏,148.36,0.69,1.29,9.8,4.87,3.11,1.96,1.52,0.123,5.22,7.01,20170509.0,3.14,2.44,2.68,6.27,35.69,9.08,4723.0,0.0
2815,崇达技术,元器件,深圳,31.47,4.24,8.83,59.92,22.75,21.03,12.38,1.4,0.306,4.39,4.38,20161012.0,16.59,1.88,17.08,1.81,27.35,12.44,45172.0,0.0
600780,通宝能源,火力发电,山西,19.38,11.47,11.47,82.92,22.81,45.46,12.57,1.1,0.09,4.73,0.74,19961205.0,27.25,2.38,0.35,-39.32,11.9,3.13,41397.0,0.0
2842,翔鹭钨业,小金属,广东,103.24,2.34,2.74,23.24,13.58,4.78,2.13,0.78,0.051,3.27,3.21,20170119.0,3.42,1.24,-18.01,-63.76,10.12,2.29,21541.0,0.0
300418,昆仑万维,互联网,北京,4.47,10.03,11.73,126.26,66.22,0.08,5.46,0.47,3.18,7.38,3.79,20150121.0,74.58,6.36,-2.3,524.74,81.73,213.28,80897.0,0.0
603040,新坐标,机械基件,浙江,28.08,1.03,1.03,9.15,5.57,1.56,2.42,2.34,0.62,7.85,4.48,20170209.0,4.3,4.16,-4.14,15.91,63.77,43.3,7046.0,0.0
2183,怡 亚 通,仓储物流,深圳,93.03,21.22,21.23,424.14,332.66,14.34,12.94,0.61,0.029,2.83,1.88,20071113.0,17.28,0.81,-5.28,-1.39,5.66,0.21,104927.0,0.0
603179,新泉股份,汽车配件,江苏,50.06,3.09,3.09,48.84,31.85,10.61,8.32,2.69,0.39,6.21,5.14,20170317.0,7.01,2.26,7.96,6.2,22.88,6.31,7418.0,0.0
600592,龙溪股份,机械基件,福建,95.39,4.0,4.0,27.44,16.83,6.89,6.96,1.74,0.065,4.81,2.58,20020805.0,6.2,1.55,4.69,-79.36,26.89,5.11,17701.0,0.0
600843,上工申贝,纺织机械,上海,95.35,3.05,5.49,46.38,28.83,5.44,9.18,1.67,0.037000000000000005,4.25,1.68,19940311.0,9.44,1.72,-10.59,-71.01,25.49,1.41,50175.0,0.0
969,安泰科技,钢加工,北京,72.76,10.01,10.26,93.52,46.55,31.02,27.36,2.67,0.049,4.4,1.62,20000529.0,4.31,0.42,-5.14,-31.42,19.84,2.13,61417.0,0.0
600120,浙江东方,多元金融,浙江,23.45,22.28,22.28,254.53,111.31,6.04,8.99,0.4,0.152,5.72,1.25,19971201.0,58.92,2.64,17.2,-4.33,5.01,5.55,45691.0,0.0
603203,快克股份,专用机械,江苏,28.81,1.57,1.57,12.26,10.72,1.34,3.63,2.32,0.528,6.61,4.6,20161108.0,4.58,2.92,1.57,5.7,53.24,37.18,9069.0,0.0
2372,伟星新材,其他建材,浙江,31.72,14.21,15.73,43.79,26.79,11.61,1.75,0.11,0.227,2.2,6.54,20100318.0,12.09,0.77,-14.28,-19.61,45.04,19.76,45444.0,0.0
600336,澳柯玛,家用电器,山东,30.02,7.77,7.99,70.59,46.1,6.19,11.76,1.47,0.12,2.57,2.81,20001229.0,0.48,0.06,0.13,22.36,20.24,2.83,41685.0,0.0
300668,杰恩设计,装修装饰,深圳,71.39,0.57,1.06,5.16,4.11,0.83,1.62,1.52,0.127,4.35,4.17,20170619.0,2.13,2.01,-24.19,-66.26,48.64,10.78,8368.0,0.0
2641,永高股份,塑料,浙江,18.44,9.1,11.23,71.41,47.32,16.87,6.38,0.57,0.246,3.15,2.89,20111208.0,14.61,1.3,-0.04,39.58,23.69,9.87,23170.0,0.0
31,大悦城,全国地产,深圳,20.84,18.14,42.86,1972.5,1482.54,41.31,85.43,1.99,0.132,4.42,1.24,19931008.0,54.06,1.26,-33.31,-69.74,44.92,4.64,140966.0,0.0
546,金圆股份,水泥,吉林,16.93,6.88,7.15,97.85,41.1,39.49,16.16,2.26,0.272,6.04,1.52,19931215.0,18.42,2.58,0.47,2.1,13.05,5.97,15130.0,0.0
2431,棕榈股份,建筑工程,广东,97.02,13.65,14.87,162.71,112.07,3.76,23.39,1.57,0.019,3.09,1.19,20100610.0,5.24,0.35,32.34,114.91,17.0,1.63,78044.0,0.0
601200,上海环境,环境保护,上海,18.96,9.69,9.69,228.5,43.58,6.28,20.8,2.15,0.36,7.36,1.76,20170331.0,34.91,3.6,44.62,11.59,33.1,17.25,84046.0,0.0
2345,潮宏基,服饰,广东,124.78,8.91,9.05,52.42,31.01,2.16,14.25,1.57,0.015,3.66,1.01,20100128.0,9.26,1.02,-20.08,-90.24,36.22,0.95,30369.0,0.0
2392,北京利尔,其他建材,北京,14.4,8.32,11.9,58.44,41.23,6.54,9.88,0.83,0.193,3.33,1.67,20100423.0,17.35,1.46,27.09,15.42,24.92,11.01,72157.0,0.0
300652,雷迪克,汽车配件,浙江,40.44,0.77,0.88,13.86,10.39,1.8,3.51,3.99,0.276,9.09,2.45,20170516.0,3.23,3.67,-8.75,-19.84,30.94,12.26,7592.0,0.0
600486,扬农化工,农药化肥,江苏,17.24,3.1,3.1,113.04,69.02,21.04,6.33,2.04,2.668,18.0,5.11,20020425.0,41.97,13.54,12.45,-2.78,26.84,13.97,14579.0,0.0
62,深圳华强,批发业,深圳,27.89,10.45,10.46,108.43,69.85,2.52,6.48,0.62,0.27,5.1,2.95,19970130.0,31.72,3.03,10.26,-17.6,10.59,4.32,32321.0,0.0
600739,辽宁成大,商贸代理,辽宁,21.2,15.3,15.3,399.08,87.71,38.85,62.96,4.12,0.622,14.57,1.81,19960819.0,133.37,8.72,-8.7,26.65,18.52,11.64,73135.0,0.0
300255,常山药业,生物制药,河北,27.09,6.81,9.35,43.93,29.11,7.6,5.27,0.56,0.14,3.05,2.48,20110819.0,13.03,1.39,11.84,5.98,70.55,12.94,26472.0,0.0
600750,江中药业,中成药,江西,15.46,6.3,6.3,46.91,30.38,10.23,4.35,0.69,0.429,5.83,2.27,19960923.0,23.47,3.73,1.54,7.14,65.65,23.31,36706.0,0.0
300580,贝斯特,汽车配件,江苏,39.2,1.86,2.0,19.62,8.69,6.86,6.81,3.4,0.314,7.74,3.18,20170111.0,5.9,2.95,0.33,-13.26,35.79,17.17,13851.0,0.0
600507,方大特钢,特种钢,江西,7.48,21.56,21.56,155.95,111.92,28.82,12.29,0.57,0.49,3.6,1.58,20030930.0,36.4,1.69,-10.85,-22.17,21.3,11.16,74631.0,0.0
2593,日上集团,汽车配件,福建,34.23,4.68,7.01,42.67,30.92,9.24,7.38,1.05,0.056,2.74,1.39,20110628.0,4.74,0.68,3.27,-9.06,12.04,2.97,29083.0,0.0
667,美好置业,全国地产,云南,135.41,24.47,24.67,279.14,206.2,23.91,13.85,0.56,0.014,2.88,1.32,19961205.0,28.51,1.16,112.57,165.06,21.08,1.79,138100.0,0.0
603686,龙马环卫,环境保护,福建,28.35,4.16,4.16,51.42,37.61,7.73,8.83,2.12,0.47,6.28,4.24,20150126.0,11.43,2.75,26.41,58.59,26.69,8.09,20371.0,0.0
600681,百川能源,供气供热,湖北,12.5,14.02,14.43,79.35,18.44,29.61,9.11,0.63,0.24,2.83,2.02,19931018.0,21.81,1.51,-20.21,-35.67,25.15,14.82,26075.0,0.0
2295,精艺股份,铜,广东,84.8,2.5,2.51,28.19,24.53,2.11,6.17,2.46,0.045,4.74,1.61,20090929.0,2.86,1.14,-20.32,-74.87,3.42,0.51,13293.0,0.0
2393,力生制药,化学制药,天津,43.3,1.82,1.82,52.38,23.56,10.47,16.92,9.27,0.31,24.53,1.09,20100423.0,11.15,6.11,-28.21,-36.34,63.95,9.21,17927.0,0.0
600642,申能股份,火力发电,上海,12.24,45.52,49.12,696.64,159.84,322.46,48.44,0.99,0.235,6.04,0.95,19930416.0,51.67,1.05,-53.14,-10.83,18.35,12.6,128333.0,0.0
300305,裕兴股份,塑料,江苏,30.04,2.33,2.89,18.22,12.27,3.14,5.95,2.06,0.192,5.37,2.14,20120329.0,5.59,1.93,-10.14,12.7,23.52,13.76,6967.0,0.0
603501,韦尔股份,半导体,上海,73.57,7.63,8.64,216.11,133.87,17.21,67.0,7.76,1.2,11.09,15.21,20170504.0,22.05,2.55,41.02,1206.17,32.34,12.31,30499.0,0.0
601211,国泰君安,证券,上海,15.88,75.16,89.08,6230.22,0.0,44.96,462.07,5.19,0.58,13.6,1.43,20150626.0,428.73,4.81,12.18,8.64,0.0,34.49,167170.0,0.0
603636,南威软件,软件服务,福建,5889.76,5.91,5.91,38.92,18.74,1.99,13.26,2.24,0.001,4.13,3.3,20141230.0,5.05,0.85,-38.82,-97.21,42.05,0.24,38098.0,0.0
601011,宝泰隆,焦炭加工,黑龙江,288.91,16.05,16.05,106.07,16.94,19.62,32.02,2.0,0.006999999999999999,3.85,1.01,20110309.0,11.94,0.74,-25.14,-87.85,15.36,0.93,102089.0,0.0
600540,新赛股份,种植业,新疆,575.33,4.71,4.71,13.97,6.05,3.82,8.08,1.72,0.005,1.43,4.1,20040107.0,-6.48,-1.38,-29.43,119.15,7.93,0.76,39524.0,0.0
966,长源电力,火力发电,湖北,16.31,11.08,11.08,97.77,15.96,62.14,9.51,0.86,0.12,3.72,1.05,20000316.0,16.73,1.51,-25.21,-47.74,14.16,5.23,47358.0,0.0
2900,哈三联,化学制药,黑龙江,66.28,1.19,3.17,25.35,15.65,6.58,10.73,3.39,0.08900000000000001,5.6,2.1,20170922.0,3.41,1.08,-44.32,-75.97,66.65,4.48,21500.0,0.0
600292,远达环保,环境保护,重庆,81.11,7.81,7.81,94.31,37.78,38.65,29.89,3.83,0.036000000000000004,6.51,0.9,20001101.0,10.11,1.29,-15.19,-22.7,15.97,1.77,40842.0,0.0
2130,沃尔核材,电气设备,深圳,27.89,12.47,12.59,66.87,28.93,19.9,2.22,0.18,0.106,2.36,2.5,20070420.0,14.85,1.18,-7.82,46.88,38.67,7.89,98137.0,0.0
603160,汇顶科技,元器件,深圳,68.79,4.53,4.57,84.44,57.7,3.82,16.42,3.59,1.32,15.01,11.98,20161017.0,48.23,10.56,5.87,-41.26,51.63,19.55,74653.0,0.0
2493,荣盛石化,化纤,浙江,19.51,58.16,62.91,2102.38,613.95,885.73,66.88,1.06,0.51,3.98,5.0,20101102.0,115.71,1.84,27.32,206.55,21.09,6.38,14022.0,0.0
600655,豫园股份,百货,上海,17.5,16.03,38.84,1026.77,660.08,30.37,111.7,2.88,0.285,7.95,1.25,19920902.0,128.25,3.3,0.88,10.37,23.83,5.51,86435.0,0.0
2059,云南旅游,旅游景点,云南,2869.27,7.31,10.12,58.88,26.9,12.03,0.92,0.09,0.001,2.29,2.62,20060810.0,10.4,1.03,-58.29,-96.93,23.66,0.25,36183.0,0.0
2057,中钢天源,元器件,安徽,30.78,5.58,5.75,22.71,13.28,5.12,3.43,0.6,0.13,2.55,3.13,20060802.0,4.99,0.87,-1.74,-3.33,27.29,11.25,55136.0,0.0
603229,奥翔药业,化学制药,浙江,93.69,2.24,2.24,8.94,5.78,1.99,1.65,0.74,0.235,3.06,14.37,20170509.0,2.68,1.2,62.38,69.46,56.06,25.06,14603.0,0.0
2887,绿茵生态,环境保护,天津,16.77,1.62,3.12,33.16,25.28,0.37,8.36,2.68,0.417,6.39,2.19,20170801.0,7.6,2.44,13.23,20.96,41.27,30.0,14253.0,0.0
600395,盘江股份,煤炭开采,贵州,14.51,16.55,16.55,147.99,51.36,30.51,24.3,1.47,0.208,4.28,1.41,20010531.0,17.14,1.04,-15.62,-44.67,29.32,12.4,40199.0,0.0
300059,东方财富,证券,上海,58.59,65.47,80.61,880.41,823.52,17.75,76.24,0.95,0.224,2.84,9.27,20100319.0,67.25,0.83,87.17,107.69,77.88,142.73,357802.0,0.0
2589,瑞康医药,医药商业,山东,21.75,11.47,15.05,332.08,283.9,17.84,39.5,2.63,0.14,4.92,1.24,20110610.0,20.45,1.36,-29.35,-45.1,18.72,1.66,70717.0,0.0
601880,大连港,港口,辽宁,31.28,77.36,128.95,346.3,68.77,162.4,29.41,0.23,0.032,1.47,1.38,20101206.0,20.78,0.16,-1.05,45.17,33.7,13.13,168161.0,0.0
2401,中远海科,软件服务,上海,19.49,3.02,3.09,32.11,28.82,0.92,0.75,0.24,0.43,3.47,4.7,20100506.0,6.54,2.11,12.17,161.34,22.07,22.15,26028.0,0.0
2585,双星新材,塑料,江苏,25.44,8.8,11.56,92.9,47.15,29.8,51.86,4.48,0.201,6.78,1.51,20110602.0,13.12,1.13,3.45,190.55,19.28,10.81,44603.0,0.0
600763,通策医疗,医疗保健,浙江,251.44,3.21,3.21,27.52,6.99,7.72,0.0,0.0,0.452,6.05,37.56,19961030.0,15.78,4.92,-12.87,-30.22,40.31,19.65,20742.0,0.0
300412,迦南科技,医疗保健,浙江,46.73,2.23,2.57,17.48,13.46,2.08,3.34,1.3,0.11,3.03,3.38,20141231.0,1.77,0.69,76.38,55.21,29.53,8.38,19240.0,0.0
719,中原传媒,出版业,河南,10.3,6.67,10.23,130.05,81.68,14.93,27.35,2.67,0.399,8.19,1.0,19970331.0,43.76,4.28,-5.4,11.7,33.14,10.38,18411.0,0.0
600976,健民集团,中成药,湖北,41.33,1.53,1.53,20.11,12.07,2.31,3.01,1.97,0.373,8.01,3.85,20040419.0,6.26,4.08,-7.61,2.22,41.5,5.57,9883.0,0.0
601898,中煤能源,煤炭开采,北京,11.8,91.52,132.59,2824.29,640.34,1142.11,389.05,2.93,0.174,7.39,0.56,20080201.0,370.95,2.8,0.57,-39.04,28.04,3.76,151481.0,0.0
20,深华发Ａ,元器件,深圳,551.92,1.81,2.83,6.11,3.16,1.97,1.47,0.52,0.011,1.17,10.51,19920428.0,-1.75,-0.62,-11.35,22.67,12.22,1.05,24154.0,0.0
2747,埃斯顿,机械基件,江苏,128.96,7.3,8.4,57.93,26.19,5.62,4.82,0.57,0.073,1.94,9.73,20150320.0,3.24,0.39,72.08,8.72,36.85,5.26,29357.0,0.0
622,恒立实业,汽车配件,湖南,422.91,4.25,4.25,3.4,3.2,0.16,1.96,0.46,0.005,0.48,8.81,19961107.0,-4.18,-0.98,15.47,134.25,7.56,1.31,36207.0,0.0
601990,南京证券,证券,江苏,46.68,20.61,32.99,423.65,0.0,9.31,42.01,1.27,0.159,3.44,4.32,20180613.0,19.11,0.58,31.66,36.7,0.0,39.76,201367.0,0.0
2856,美芝股份,装修装饰,深圳,472.15,0.74,1.35,15.5,13.96,0.23,2.88,2.13,0.018000000000000002,5.28,3.21,20170320.0,2.02,1.49,12.71,-78.98,12.18,0.6,10666.0,0.0
2211,宏达新材,橡胶,上海,138.21,3.1,4.32,10.92,7.75,1.09,10.27,2.38,0.023,1.66,3.85,20080201.0,-7.72,-1.79,-16.37,978.01,13.23,2.85,32960.0,0.0
601866,中远海发,水运,上海,14.49,79.32,116.08,1515.69,336.74,570.44,3.29,0.03,0.06,1.47,1.45,20071212.0,66.07,0.57,14.15,-5.55,25.11,10.92,325816.0,0.0
603158,腾龙股份,汽车配件,江苏,38.93,2.17,2.17,26.65,14.94,5.54,2.75,1.27,0.28,5.05,4.23,20150320.0,6.1,2.81,56.39,25.16,31.26,8.75,8841.0,0.0
300522,世名科技,染料涂料,江苏,78.67,1.17,1.81,7.61,5.1,1.3,2.02,1.12,0.219,3.68,9.36,20160705.0,2.95,1.63,2.22,1.98,42.47,21.43,7316.0,0.0
600251,冠农股份,农业综合,新疆,19.11,7.79,7.85,34.18,15.43,7.84,3.65,0.46,0.226,2.99,2.88,20030609.0,10.56,1.35,-5.0,74.85,17.09,11.15,45717.0,0.0
2404,嘉欣丝绸,纺织,浙江,31.4,4.59,5.78,29.2,20.15,3.61,6.45,1.12,0.103,2.96,2.19,20100511.0,4.07,0.71,-27.36,-24.27,17.93,4.7,35465.0,0.0
601500,通用股份,汽车配件,江苏,88.97,8.72,8.72,71.92,25.1,15.93,15.2,1.74,0.036000000000000004,4.18,1.55,20160919.0,10.58,1.21,-17.22,-44.99,14.49,2.31,38851.0,0.0
601007,金陵饭店,酒店餐饮,江苏,4165.6,3.0,3.0,31.29,11.95,11.75,4.09,1.36,0.001,4.98,1.74,20070406.0,6.76,2.25,-13.93,-99.13,44.94,0.06,17009.0,0.0
600673,东阳光,化学制药,广东,38.92,24.59,30.14,282.49,142.15,64.56,5.67,0.19,0.084,2.29,2.85,19930917.0,40.97,1.36,-19.51,-58.57,39.11,4.24,85422.0,0.0
600814,杭州解百,百货,浙江,24.31,7.15,7.15,57.36,37.81,7.53,0.14,0.02,0.134,3.63,1.8,19940114.0,17.1,2.39,-5.42,-17.26,19.0,3.32,30406.0,0.0
651,格力电器,家用电器,广东,25.88,59.7,60.16,2827.02,2075.51,191.77,0.93,0.02,1.058,18.89,2.9,19961118.0,929.33,15.45,-28.57,-53.73,21.11,9.15,553857.0,0.0
935,四川双马,水泥,四川,15.5,7.63,7.63,54.96,11.6,15.09,10.17,1.33,0.503,5.95,2.62,19990824.0,26.1,3.42,-5.97,-4.55,43.98,46.22,53318.0,0.0
709,河钢股份,普钢,河北,17.09,106.17,106.19,2084.39,639.76,1231.79,232.06,2.19,0.05,4.6,0.48,19970416.0,132.91,1.25,-19.16,-40.7,12.61,1.37,338508.0,0.0
603128,华贸物流,仓储物流,上海,16.18,13.09,13.09,70.95,46.66,5.77,19.18,1.46,0.207,3.3,2.03,20120529.0,14.15,1.08,44.37,46.39,12.15,4.18,59829.0,0.0
605,渤海股份,水务,北京,87.71,3.36,3.53,83.72,30.48,19.36,11.0,3.12,0.038,5.7,1.18,19960913.0,5.0,1.42,-2.14,-19.88,26.45,1.48,20151.0,0.0
300511,雪榕生物,种植业,上海,25.48,2.81,4.42,39.56,7.57,23.99,4.6,1.04,0.36,4.19,4.28,20160504.0,9.3,2.11,12.75,34.51,23.62,15.61,34949.0,0.0
600575,淮河能源,水运,安徽,14.91,38.86,38.86,171.37,40.88,74.22,50.04,1.29,0.075,2.45,0.92,20030328.0,3.59,0.09,-17.11,-33.42,9.7,6.0,43254.0,0.0
300542,新晨科技,软件服务,北京,197.76,2.0,3.0,11.05,7.5,0.53,0.11,0.04,0.034,2.09,6.48,20160920.0,3.36,1.12,-15.73,20.55,22.23,2.46,15572.0,0.0
637,茂化实华,石油加工,广东,94.85,3.66,5.2,20.38,13.33,3.33,0.07,0.01,0.024,1.84,2.47,19961114.0,2.02,0.39,-9.45,-85.14,6.66,0.68,32931.0,0.0
708,中信特钢,特种钢,湖北,16.66,7.64,50.47,744.51,307.56,319.58,92.06,1.82,0.545,4.97,3.65,19970326.0,101.05,2.0,-1.1,-0.57,17.42,7.66,19993.0,0.0
601929,吉视传媒,影视音像,吉林,79.43,31.11,31.11,139.36,23.69,65.14,9.0,0.29,0.014,2.13,1.07,20120223.0,15.11,0.49,-5.51,-55.09,34.68,4.99,82597.0,0.0
532,华金资本,多元金融,广东,110.68,3.44,3.45,26.29,5.91,1.02,0.26,0.07,0.062,2.5,5.47,19940103.0,4.25,1.23,3.73,21.5,52.56,10.4,38619.0,0.0
402,金 融 街,全国地产,北京,40.86,29.88,29.89,1654.95,1135.07,24.39,68.57,2.29,0.084,11.42,0.6,19960626.0,220.08,7.36,-38.36,-76.13,42.52,4.28,73247.0,0.0
601999,出版传媒,出版业,辽宁,253.3,5.51,5.51,36.56,20.91,4.39,5.25,0.95,0.014,4.12,1.67,20071221.0,10.11,1.83,-21.79,-86.08,23.06,0.79,35105.0,0.0
603528,多伦科技,软件服务,江苏,230.44,6.24,6.27,21.22,14.13,2.14,2.01,0.32,0.025,2.51,4.63,20160503.0,6.09,0.97,-33.12,-80.03,52.64,7.69,27723.0,0.0
600361,华联综超,超市连锁,北京,18.66,6.66,6.66,92.07,55.83,7.2,16.86,2.53,0.125,4.19,1.11,20011129.0,2.89,0.43,-32.97,49.02,33.44,2.03,29448.0,0.0
600783,鲁信创投,多元金融,山东,179.45,7.44,7.44,61.18,18.17,0.63,10.0,1.34,0.046,4.81,3.4,19961225.0,16.0,2.15,-60.95,-34.59,23.97,77.72,41909.0,0.0
2909,集泰股份,化工原料,广东,27.61,1.04,2.34,10.69,7.08,2.47,1.1,0.47,0.212,2.22,5.26,20171026.0,1.44,0.62,2.35,58.19,36.8,10.38,18979.0,0.0
2360,同德化工,化工原料,山西,30.4,2.98,3.92,15.79,9.25,3.72,0.3,0.08,0.116,2.94,2.39,20100303.0,7.01,1.79,6.28,-36.6,39.87,13.85,18200.0,0.0
600130,波导股份,通信设备,浙江,66.53,7.68,7.68,10.73,7.96,0.63,4.56,0.59,0.035,1.21,3.88,20000706.0,-3.64,-0.47,-47.05,464.77,4.59,21.33,76708.0,0.0
601,韶能股份,水力发电,广东,14.97,10.8,10.81,123.14,27.78,80.4,15.81,1.46,0.236,4.39,1.61,19960830.0,12.91,1.2,4.79,-28.06,25.07,11.07,59926.0,0.0
603650,彤程新材,化工原料,上海,53.98,1.31,5.86,41.94,19.11,3.47,6.86,1.17,0.307,3.82,8.67,20180627.0,8.92,1.52,-16.28,-22.81,31.47,19.08,16830.0,0.0
