code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300880,N迦南,电器仪表,浙江,174.59,0.32,1.33,5.87,5.2,0.23,0.28,0.21,0.221,4.46,17.32,20200901,1.69,1.27,0.0,0.0,32.97,17.56,36994.0
300879,N大叶,农用机械,浙江,95.18,0.38,1.6,12.39,6.02,1.53,1.24,0.77,0.368,5.64,12.41,20200901,2.71,1.69,0.0,0.0,20.44,8.64,43070.0
300881,N盛德,钢加工,江苏,173.88,0.24,1.0,8.97,7.65,0.65,1.54,1.54,0.22399999999999998,7.07,11.03,20200901,1.47,1.47,0.0,0.0,15.27,5.5,28474.0
603155,N新亚强,化工原料,江苏,41.78,0.39,1.56,7.74,4.93,1.9,1.41,0.91,0.5489999999999999,12.18,3.77,20200901,3.83,2.46,0.0,0.0,47.89,35.31,43732.0
300276,三丰智能,专用机械,湖北,130.15,8.07,14.31,53.95,26.54,2.47,17.42,1.22,0.025,2.52,2.62,20111115,5.32,0.37,-27.99,-73.4,20.64,5.14,36635.0
300278,华昌达,专用机械,湖北,0.0,3.94,5.97,30.33,17.52,4.4,9.65,1.62,-0.15,0.35,22.23,20111216,-12.05,-2.02,-12.46,82.66,11.6,-11.94,25687.0
300100,双林股份,汽车服务,浙江,54.16,3.81,4.57,57.45,30.08,18.86,10.43,2.28,0.11,3.93,3.02,20100806,1.85,0.41,-34.51,347.94,22.23,3.35,24634.0
300817,双飞股份,机械基件,浙江,58.52,0.25,1.01,9.59,6.14,2.51,3.62,3.58,0.37,8.33,4.78,20200218,3.3,3.27,4.18,5.72,29.19,12.44,13955.0
300337,银邦股份,铝,江苏,0.0,7.08,8.22,32.71,17.06,12.93,5.71,0.7,-0.015,1.78,4.01,20120718,0.3,0.04,19.99,66.03,12.13,-1.14,26412.0
300008,天海防务,船舶,上海,84.23,7.43,9.6,17.7,6.0,3.55,11.63,1.21,0.042,0.46,15.41,20091030,-17.39,-1.81,-33.29,194.88,31.12,17.5,67642.0
300491,通合科技,电气设备,河北,0.0,1.21,1.61,8.21,4.35,1.46,3.74,2.33,-0.08,4.13,3.97,20151231,1.09,0.68,-27.88,-284.03,39.57,-16.59,12409.0
300722,新余国科,专用机械,江西,155.86,0.36,1.46,5.17,2.74,1.91,1.39,0.95,0.081,2.97,8.49,20171110,1.16,0.8,-10.0,-28.66,44.13,12.86,10288.0
300157,恒泰艾普,石油开采,北京,0.0,7.07,7.12,42.76,15.4,4.61,27.46,3.86,-0.107,3.44,1.73,20110107,-10.96,-1.54,-50.37,-348.72,24.91,-26.14,29905.0
300116,坚瑞沃能,电气设备,陕西,0.0,36.87,42.81,9.75,6.92,0.94,31.39,0.73,-0.011000000000000001,0.12,26.61,20100902,-68.93,-1.61,-92.86,97.32,-5.98,-293.18,60858.0
300317,珈伟新能,半导体,深圳,141.27,7.69,8.24,40.99,17.63,13.97,33.89,4.11,0.021,2.34,2.51,20120511,-22.93,-2.78,-21.47,161.87,40.54,4.29,27206.0
300265,通光线缆,电气设备,江苏,71.05,3.53,3.54,23.34,15.63,3.87,3.05,0.86,0.1,3.31,4.02,20110916,4.7,1.33,-7.6,19.13,28.22,5.2,35030.0
300589,江龙船艇,船舶,广东,259.19,0.95,2.03,9.29,5.55,2.72,0.1,0.05,0.04,1.78,11.52,20170113,1.3,0.64,2.5,-6.35,20.68,3.98,13577.0
300447,全信股份,电气设备,江苏,37.16,1.7,2.91,16.13,12.35,1.4,5.08,1.74,0.209,3.96,3.92,20150422,3.19,1.09,4.99,-15.46,50.29,18.53,15048.0
300095,华伍股份,机械基件,江西,35.94,2.76,3.79,27.24,15.76,3.72,5.8,1.53,0.22399999999999998,3.42,4.71,20100728,3.47,0.92,26.63,159.57,43.27,14.9,18106.0
