成交日期,证券代码,证券名称,成交量,成交均价,成交金额,手续费,发生金额
20190408,510300,300ETF,2500,4.085,10212.50,3.06,10209.44
20190507,510300,300ETF,1500,3.675,5512.50,1.65,5510.85
20190524,510300,300ETF,1500,3.592,5388.00,1.62,5386.38
