Indexcd	Trddt	Daywk	Opnindex	Hiindex	Loindex	Clsindex	Retindex
000001	2009-01-05	1	1849.020	1880.716	1844.094	1880.716	.032904
000001	2009-01-06	2	1878.827	1938.690	1871.971	1937.145	.030004
000001	2009-01-07	3	1938.974	1948.233	1920.515	1924.012	-.006780
000001	2009-01-08	4	1890.242	1894.171	1862.263	1878.181	-.023821
000001	2009-01-09	5	1875.164	1909.349	1875.164	1904.861	.014205
000001	2009-01-12	1	1897.703	1924.441	1886.833	1900.347	-.002370
000001	2009-01-13	2	1880.868	1888.309	1861.811	1863.367	-.019460
000001	2009-01-14	3	1862.310	1929.276	1862.309	1928.869	.035152
000001	2009-01-15	4	1912.772	1937.728	1902.542	1920.206	-.004491
000001	2009-01-16	5	1928.922	1984.728	1928.922	1954.438	.017827
000001	2009-01-19	1	1971.000	2018.510	1966.188	1986.672	.016493
000001	2009-01-20	2	1981.147	1994.809	1956.102	1994.107	.003742
000001	2009-01-21	3	1965.944	2007.911	1960.529	1985.016	-.004559
000001	2009-01-22	4	1996.086	2009.851	1980.438	2004.951	.010043
000001	2009-01-23	5	2001.172	2008.788	1986.348	1990.657	-.007129
000001	2009-02-02	1	2008.134	2012.742	1987.129	2011.683	.010562
000001	2009-02-03	2	2011.770	2060.925	2005.022	2060.808	.024420
000001	2009-02-04	3	2068.086	2108.257	2067.786	2107.749	.022778
000001	2009-02-05	4	2106.835	2149.476	2082.596	2098.018	-.004617
000001	2009-02-06	5	2102.078	2185.086	2102.078	2181.239	.039666
000001	2009-02-09	1	2211.317	2238.894	2196.708	2224.714	.019931
000001	2009-02-10	2	2218.489	2266.398	2197.007	2265.161	.018181
000001	2009-02-11	3	2230.490	2305.705	2218.297	2260.820	-.001916
000001	2009-02-12	4	2265.789	2274.201	2191.887	2248.091	-.005630
000001	2009-02-13	5	2249.185	2323.120	2236.178	2320.792	.032339
000001	2009-02-16	1	2338.758	2389.878	2328.179	2389.387	.029557
000001	2009-02-17	2	2387.354	2402.807	2316.934	2319.441	-.029274
000001	2009-02-18	3	2271.260	2295.741	2206.062	2209.862	-.047244
000001	2009-02-19	4	2224.490	2247.616	2190.473	2227.125	.007812
000001	2009-02-20	5	2234.365	2262.332	2206.211	2261.478	.015425
000001	2009-02-23	1	2249.289	2313.594	2219.714	2305.777	.019589
000001	2009-02-24	2	2273.755	2295.590	2193.268	2200.654	-.045591
000001	2009-02-25	3	2222.506	2234.018	2142.601	2206.574	.002690
000001	2009-02-26	4	2201.672	2237.547	2102.346	2121.251	-.038668
