Date,Open,Close,High,Low,Volume
2017-01-03,3313.95,3342.23,3345.26,3313.95,86567896.0
2017-01-04,3340.56,3368.31,3369.57,3338.15,90050827.0
2017-01-05,3368.34,3367.79,3373.41,3361.46,88336357.0
2017-01-06,3366.85,3347.67,3368.87,3346.89,87459114.0
2017-01-09,3345.75,3363.9,3366.22,3344.35,83707942.0
2017-01-10,3361.64,3358.27,3370.51,3354.09,83819160.0
2017-01-11,3355.8,3334.5,3366.63,3334.3,91071438.0
2017-01-12,3332.69,3317.62,3343.13,3315.96,81239135.0
2017-01-13,3317.96,3319.91,3338.17,3309.37,84180589.0
2017-01-16,3314.15,3319.45,3322.78,3264.21,157779135.0
2017-01-17,3305.6,3326.36,3327.38,3292.2,69453328.0
2017-01-18,3323.34,3339.37,3350.96,3320.41,70623227.0
2017-01-19,3330.95,3329.29,3346.5,3324.68,66159808.0
2017-01-20,3326.98,3354.89,3358.41,3326.37,65300462.0
2017-01-23,3359.05,3364.08,3378.74,3355.85,75557498.0
2017-01-24,3363.14,3364.45,3371.32,3355.9,66194226.0
2017-01-25,3361.66,3375.9,3376.44,3357.22,58376931.0
2017-01-26,3378.26,3387.96,3395.88,3378.26,65316647.0
2017-02-03,3390.93,3364.49,3392.48,3362.57,55188861.0
2017-02-06,3368.11,3373.21,3381.33,3358.75,68521360.0
2017-02-07,3371.77,3365.68,3376.71,3354.62,63754462.0
2017-02-08,3361.78,3383.29,3383.69,3347.43,75402879.0
2017-02-09,3381.9,3396.29,3406.59,3379.79,97558515.0
2017-02-10,3398.32,3413.49,3422.33,3398.03,123768720.0
2017-02-13,3416.92,3436.27,3439.54,3416.87,120144538.0
2017-02-14,3438.51,3435.8,3440.67,3424.4,94809465.0
2017-02-15,3435.39,3421.71,3448.03,3417.08,127643338.0
2017-02-16,3421.83,3440.93,3440.93,3418.35,108276962.0
2017-02-17,3443.62,3421.44,3457.56,3419.61,114600036.0
2017-02-20,3421.64,3471.39,3472.6,3421.64,132628862.0
2017-02-21,3475.06,3482.82,3490.09,3472.02,114842009.0
2017-02-22,3483.2,3489.76,3489.95,3473.52,102815994.0
2017-02-23,3487.57,3473.32,3492.96,3460.12,99536330.0
2017-02-24,3468.96,3473.85,3473.85,3455.25,95535133.0
