,date,open,close,high,low,volume,amount,turnoverratio,code
0,2020-05-08 14:55,3.46,3.46,3.46,3.45,5583.0,{},0.0265,601988
1,2020-05-08 15:00,3.46,3.46,3.46,3.45,8523.0,{},0.0404,601988
2,2020-05-11 09:35,3.46,3.46,3.47,3.45,43884.0,{},0.2082,601988
3,2020-05-11 09:40,3.46,3.47,3.47,3.46,24789.0,{},0.1176,601988
4,2020-05-11 09:45,3.47,3.47,3.47,3.46,11713.0,{},0.0556,601988
5,2020-05-11 09:50,3.47,3.47,3.47,3.46,18029.0,{},0.0855,601988
6,2020-05-11 09:55,3.47,3.46,3.47,3.46,9108.0,{},0.0432,601988
7,2020-05-11 10:00,3.46,3.47,3.47,3.46,9251.0,{},0.0439,601988
8,2020-05-11 10:05,3.47,3.47,3.47,3.46,11243.0,{},0.0533,601988
9,2020-05-11 10:10,3.47,3.47,3.47,3.46,10119.0,{},0.0480,601988
10,2020-05-11 10:15,3.47,3.47,3.47,3.46,7471.0,{},0.0354,601988
11,2020-05-11 10:20,3.47,3.46,3.47,3.46,11615.0,{},0.0551,601988
12,2020-05-11 10:25,3.46,3.47,3.47,3.46,12057.0,{},0.0572,601988
13,2020-05-11 10:30,3.47,3.47,3.47,3.46,6930.0,{},0.0329,601988
14,2020-05-11 10:35,3.47,3.46,3.47,3.46,5849.0,{},0.0278,601988
15,2020-05-11 10:40,3.46,3.46,3.47,3.46,3686.0,{},0.0175,601988
16,2020-05-11 10:45,3.46,3.46,3.47,3.46,3431.0,{},0.0163,601988
17,2020-05-11 10:50,3.46,3.47,3.47,3.46,5600.0,{},0.0266,601988
18,2020-05-11 10:55,3.47,3.46,3.47,3.46,6571.0,{},0.0312,601988
19,2020-05-11 11:00,3.46,3.47,3.47,3.46,3475.0,{},0.0165,601988
20,2020-05-11 11:05,3.47,3.47,3.47,3.46,4028.0,{},0.0191,601988
21,2020-05-11 11:10,3.47,3.46,3.47,3.46,4047.0,{},0.0192,601988
22,2020-05-11 11:15,3.46,3.46,3.47,3.46,4205.0,{},0.0200,601988
23,2020-05-11 11:20,3.46,3.46,3.47,3.46,3240.0,{},0.0154,601988
24,2020-05-11 11:25,3.46,3.47,3.47,3.46,4330.0,{},0.0205,601988
25,2020-05-11 11:30,3.47,3.47,3.47,3.46,3898.0,{},0.0185,601988
26,2020-05-11 13:05,3.47,3.46,3.47,3.46,9204.0,{},0.0437,601988
27,2020-05-11 13:10,3.46,3.47,3.47,3.46,5962.0,{},0.0283,601988
28,2020-05-11 13:15,3.47,3.46,3.47,3.46,2905.0,{},0.0138,601988
29,2020-05-11 13:20,3.46,3.47,3.47,3.46,4234.0,{},0.0201,601988
30,2020-05-11 13:25,3.47,3.46,3.47,3.46,5301.0,{},0.0252,601988
31,2020-05-11 13:30,3.46,3.47,3.47,3.46,5690.0,{},0.0270,601988
32,2020-05-11 13:35,3.47,3.47,3.47,3.46,6118.0,{},0.0290,601988
33,2020-05-11 13:40,3.47,3.47,3.47,3.46,6882.0,{},0.0327,601988
34,2020-05-11 13:45,3.47,3.47,3.47,3.46,9060.0,{},0.0430,601988
35,2020-05-11 13:50,3.47,3.47,3.47,3.46,5524.0,{},0.0262,601988
36,2020-05-11 13:55,3.47,3.46,3.47,3.46,8422.0,{},0.0400,601988
37,2020-05-11 14:00,3.47,3.47,3.47,3.46,5023.0,{},0.0238,601988
38,2020-05-11 14:05,3.46,3.46,3.47,3.46,7577.0,{},0.0359,601988
39,2020-05-11 14:10,3.46,3.46,3.47,3.46,6441.0,{},0.0306,601988
40,2020-05-11 14:15,3.47,3.46,3.47,3.46,3881.0,{},0.0184,601988
41,2020-05-11 14:20,3.47,3.47,3.47,3.46,31145.0,{},0.1478,601988
42,2020-05-11 14:25,3.47,3.47,3.47,3.46,4441.0,{},0.0211,601988
43,2020-05-11 14:30,3.47,3.46,3.47,3.46,8052.0,{},0.0382,601988
44,2020-05-11 14:35,3.46,3.46,3.47,3.46,8590.0,{},0.0408,601988
45,2020-05-11 14:40,3.46,3.46,3.47,3.46,10008.0,{},0.0475,601988
46,2020-05-11 14:45,3.46,3.46,3.47,3.46,12976.0,{},0.0616,601988
47,2020-05-11 14:50,3.47,3.47,3.47,3.46,5387.0,{},0.0256,601988
48,2020-05-11 14:55,3.47,3.47,3.47,3.46,8016.0,{},0.0380,601988
49,2020-05-11 15:00,3.47,3.46,3.47,3.46,16134.0,{},0.0765,601988
50,2020-05-12 09:35,3.46,3.47,3.47,3.46,32721.0,{},0.1552,601988
51,2020-05-12 09:40,3.46,3.46,3.47,3.46,10715.0,{},0.0508,601988
52,2020-05-12 09:45,3.46,3.46,3.47,3.46,13603.0,{},0.0645,601988
