Date Time,Open,High,Low,Close,Volume,Adj Close
2020-05-08 14:55,3.46,3.46,3.45,3.46,5583.0,3.46
2020-05-08 15:00,3.46,3.46,3.45,3.46,8523.0,3.46
2020-05-11 09:35,3.46,3.47,3.45,3.46,43884.0,3.46
2020-05-11 09:40,3.46,3.47,3.46,3.47,24789.0,3.47
2020-05-11 09:45,3.47,3.47,3.46,3.47,11713.0,3.47
2020-05-11 09:50,3.47,3.47,3.46,3.47,18029.0,3.47
2020-05-11 09:55,3.47,3.47,3.46,3.46,9108.0,3.46
2020-05-11 10:00,3.46,3.47,3.46,3.47,9251.0,3.47
2020-05-11 10:05,3.47,3.47,3.46,3.47,11243.0,3.47
2020-05-11 10:10,3.47,3.47,3.46,3.47,10119.0,3.47
2020-05-11 10:15,3.47,3.47,3.46,3.47,7471.0,3.47
2020-05-11 10:20,3.47,3.47,3.46,3.46,11615.0,3.46
2020-05-11 10:25,3.46,3.47,3.46,3.47,12057.0,3.47
2020-05-11 10:30,3.47,3.47,3.46,3.47,6930.0,3.47
2020-05-11 10:35,3.47,3.47,3.46,3.46,5849.0,3.46
2020-05-11 10:40,3.46,3.47,3.46,3.46,3686.0,3.46
2020-05-11 10:45,3.46,3.47,3.46,3.46,3431.0,3.46
2020-05-11 10:50,3.46,3.47,3.46,3.47,5600.0,3.47
2020-05-11 10:55,3.47,3.47,3.46,3.46,6571.0,3.46
2020-05-11 11:00,3.46,3.47,3.46,3.47,3475.0,3.47
2020-05-11 11:05,3.47,3.47,3.46,3.47,4028.0,3.47
2020-05-11 11:10,3.47,3.47,3.46,3.46,4047.0,3.46
2020-05-11 11:15,3.46,3.47,3.46,3.46,4205.0,3.46
2020-05-11 11:20,3.46,3.47,3.46,3.46,3240.0,3.46
2020-05-11 11:25,3.46,3.47,3.46,3.47,4330.0,3.47
2020-05-11 11:30,3.47,3.47,3.46,3.47,3898.0,3.47
2020-05-11 13:05,3.47,3.47,3.46,3.46,9204.0,3.46
2020-05-11 13:10,3.46,3.47,3.46,3.47,5962.0,3.47
2020-05-11 13:15,3.47,3.47,3.46,3.46,2905.0,3.46
2020-05-11 13:20,3.46,3.47,3.46,3.47,4234.0,3.47
2020-05-11 13:25,3.47,3.47,3.46,3.46,5301.0,3.46
2020-05-11 13:30,3.46,3.47,3.46,3.47,5690.0,3.47
2020-05-11 13:35,3.47,3.47,3.46,3.47,6118.0,3.47
2020-05-11 13:40,3.47,3.47,3.46,3.47,6882.0,3.47
2020-05-11 13:45,3.47,3.47,3.46,3.47,9060.0,3.47
2020-05-11 13:50,3.47,3.47,3.46,3.47,5524.0,3.47
2020-05-11 13:55,3.47,3.47,3.46,3.46,8422.0,3.46
2020-05-11 14:00,3.47,3.47,3.46,3.47,5023.0,3.47
2020-05-11 14:05,3.46,3.47,3.46,3.46,7577.0,3.46
2020-05-11 14:10,3.46,3.47,3.46,3.46,6441.0,3.46
2020-05-11 14:15,3.47,3.47,3.46,3.46,3881.0,3.46
2020-05-11 14:20,3.47,3.47,3.46,3.47,31145.0,3.47
2020-05-11 14:25,3.47,3.47,3.46,3.47,4441.0,3.47
2020-05-11 14:30,3.47,3.47,3.46,3.46,8052.0,3.46
2020-05-11 14:35,3.46,3.47,3.46,3.46,8590.0,3.46
2020-05-11 14:40,3.46,3.47,3.46,3.46,10008.0,3.46
2020-05-11 14:45,3.46,3.47,3.46,3.46,12976.0,3.46
2020-05-11 14:50,3.47,3.47,3.46,3.47,5387.0,3.47
2020-05-11 14:55,3.47,3.47,3.46,3.47,8016.0,3.47
2020-05-11 15:00,3.47,3.47,3.46,3.46,16134.0,3.46
2020-05-12 09:35,3.46,3.47,3.46,3.47,32721.0,3.47
2020-05-12 09:40,3.46,3.47,3.46,3.46,10715.0,3.46
2020-05-12 09:45,3.46,3.47,3.46,3.46,13603.0,3.46
2020-05-12 09:50,3.46,3.47,3.46,3.47,11720.0,3.47
2020-05-12 09:55,3.46,3.47,3.46,3.46,8889.0,3.46
2020-05-12 10:00,3.47,3.47,3.46,3.46,6226.0,3.46
2020-05-12 10:05,3.46,3.47,3.46,3.46,9601.0,3.46
2020-05-12 10:10,3.46,3.47,3.46,3.46,8441.0,3.46
2020-05-12 10:15,3.46,3.47,3.46,3.46,10949.0,3.46
2020-05-12 10:20,3.46,3.47,3.46,3.47,10225.0,3.47
2020-05-12 10:25,3.47,3.47,3.46,3.46,7701.0,3.46
2020-05-12 10:30,3.46,3.47,3.46,3.46,7435.0,3.46
2020-05-12 10:35,3.46,3.47,3.46,3.46,4944.0,3.46
2020-05-12 10:40,3.46,3.47,3.46,3.46,6653.0,3.46
2020-05-12 10:45,3.46,3.47,3.46,3.46,5800.0,3.46
2020-05-12 10:50,3.46,3.47,3.46,3.46,6984.0,3.46
2020-05-12 10:55,3.46,3.47,3.46,3.46,9539.0,3.46
2020-05-12 11:00,3.46,3.47,3.46,3.46,13910.0,3.46
2020-05-12 11:05,3.46,3.47,3.45,3.45,57080.0,3.45
2020-05-12 11:10,3.45,3.46,3.45,3.45,8014.0,3.45
2020-05-12 11:15,3.45,3.46,3.45,3.45,13194.0,3.45
2020-05-12 11:20,3.45,3.46,3.45,3.45,7614.0,3.45
2020-05-12 11:25,3.45,3.46,3.45,3.45,8315.0,3.45
2020-05-12 11:30,3.45,3.46,3.45,3.46,7208.0,3.46
2020-05-12 13:05,3.46,3.46,3.45,3.45,12153.0,3.45
2020-05-12 13:10,3.45,3.46,3.45,3.45,25117.0,3.45
2020-05-12 13:15,3.45,3.46,3.45,3.45,8379.0,3.45
2020-05-12 13:20,3.45,3.46,3.45,3.45,5608.0,3.45
2020-05-12 13:25,3.45,3.46,3.45,3.45,12688.0,3.45
2020-05-12 13:30,3.46,3.46,3.45,3.45,6874.0,3.45
2020-05-12 13:35,3.45,3.46,3.45,3.45,18827.0,3.45
2020-05-12 13:40,3.45,3.46,3.45,3.46,6212.0,3.46
2020-05-12 13:45,3.45,3.46,3.45,3.45,5394.0,3.45
2020-05-12 13:50,3.45,3.46,3.45,3.45,5498.0,3.45
2020-05-12 13:55,3.45,3.46,3.44,3.45,37029.0,3.45
2020-05-12 14:00,3.45,3.46,3.45,3.45,4848.0,3.45
2020-05-12 14:05,3.45,3.46,3.45,3.45,9215.0,3.45
2020-05-12 14:10,3.45,3.46,3.45,3.45,6650.0,3.45
2020-05-12 14:15,3.45,3.46,3.44,3.45,15855.0,3.45
2020-05-12 14:20,3.45,3.46,3.45,3.45,4510.0,3.45
2020-05-12 14:25,3.45,3.46,3.45,3.45,8602.0,3.45
2020-05-12 14:30,3.45,3.46,3.45,3.45,8762.0,3.45
2020-05-12 14:35,3.45,3.46,3.45,3.45,10189.0,3.45
2020-05-12 14:40,3.46,3.46,3.44,3.45,27878.0,3.45
2020-05-12 14:45,3.45,3.46,3.44,3.44,8950.0,3.44
2020-05-12 14:50,3.44,3.45,3.44,3.45,13075.0,3.45
2020-05-12 14:55,3.45,3.46,3.44,3.45,13100.0,3.45
2020-05-12 15:00,3.45,3.46,3.44,3.44,15614.0,3.44
2020-05-13 09:35,3.45,3.45,3.44,3.45,39146.0,3.45
2020-05-13 09:40,3.44,3.45,3.44,3.45,11487.0,3.45
2020-05-13 09:45,3.45,3.45,3.44,3.44,11616.0,3.44
