成交日期,证券代码,证券名称,成交量,成交均价,成交金额,手续费,发生金额
20200415,513100,nasETF,100,3.237,323.7,0.1,323.8

20200427,510300,300ETF,200,3.815,763,0.23,763.23

20200428,513100,nasETF,100,3.638,363.8,0.11,363.91

20200508,510300,300ETF,100,3.945,394.5,0.02,394.52

20200508,513100,nasETF,100,3.816,381.6,0.02,381.62

20200508,510300,300ETF,100,3.954,395.4,0.02,395.42

20200515,510300,300ETF,100,3.926,392.6,0.02,392.62

20200515,513100,nasETF,100,3.639,363.9,0.02,363.92

20200515,510300,300ETF,100,3.902,390.2,0.02,390.22

20200525,510300,300ETF,100,3.808,380.8,0.02,380.82

20200525,513100,nasETF,100,3.67,367,0.02,367.02

20200605,513100,nasETF,100,3.785,0.02,378.520

20200605,510300,300ETF,100,3.974,0.02,397.42

20200608,513100,nasETF,-400,3.830,-1532.00,0.46,-1531.54

20200605,513100,nasETF,-400,3.829,-1531.600,0.080,-1531.520

20200615,510300,300ETF,300,3.998,1199.4,0.06,1199.460

20200629,510300,300ETF,200,4.125,825.00,0.040,825.040

20200701,510300,300ETF,-300,4.265,-1706.0,0.51,-1705.49
