"","Date","Open","High","Low","Close","Volume"
"1",2015-03-02,3332.720947,3336.76001,3298.668945,3336.284912,346400
"2",2015-03-03,3317.695068,3317.695068,3260.428955,3263.052002,382000
"3",2015-03-04,3264.181885,3286.587891,3250.483887,3279.532959,293600
"4",2015-03-05,3264.084961,3266.637939,3221.666016,3248.476074,320700
"5",2015-03-06,3248.035889,3266.933105,3234.532959,3241.187012,282900
"6",2015-03-09,3224.313965,3307.701904,3198.370117,3302.407959,321500
"7",2015-03-10,3289.084961,3309.915039,3277.094971,3286.068115,285800
"8",2015-03-11,3289.593994,3325.053955,3278.470947,3290.899902,283000
"9",2015-03-12,3314.812988,3360.053955,3300.488037,3349.322998,357300
"10",2015-03-13,3359.488037,3391.254883,3352.149902,3372.910889,328400
"11",2015-03-16,3391.157959,3449.304932,3377.086914,3449.304932,399100
"12",2015-03-17,3469.603027,3504.123047,3459.694092,3502.846924,520900
"13",2015-03-18,3510.500977,3577.662109,3503.853027,3577.301025,545200
"14",2015-03-19,3576.019043,3600.684082,3546.843994,3582.270996,537300
"15",2015-03-20,3587.083984,3632.337891,3569.379883,3617.318115,516700
"16",2015-03-23,3640.104004,3688.249023,3635.485107,3687.728027,536100
"17",2015-03-24,3692.569092,3715.873047,3600.697998,3691.409912,639600
"18",2015-03-25,3680.952881,3693.150879,3634.559082,3660.727051,521900
"19",2015-03-26,3641.941895,3707.318115,3615.010986,3682.094971,488600
"20",2015-03-27,3686.134033,3710.477051,3656.831055,3691.095947,408900
"21",2015-03-30,3710.612061,3795.935059,3710.612061,3786.568115,564700
"22",2015-03-31,3822.987061,3835.566895,3737.042969,3747.898926,561700
