,date,open,close,high,low,volume,code
0,2018-01-02,12.99,12.94,13.25,12.8,37243.0,300320
1,2018-01-03,12.94,13.19,13.44,12.88,45447.0,300320
2,2018-01-04,13.47,13.54,13.67,13.2,88515.0,300320
3,2018-01-05,13.59,13.55,13.6,13.25,78326.0,300320
4,2018-01-08,13.87,13.49,13.87,12.7,109119.0,300320
5,2018-01-09,13.35,13.05,13.4,12.82,55470.0,300320
6,2018-01-10,12.9,12.79,13.04,12.5,43407.0,300320
7,2018-01-11,12.75,12.6,12.83,12.41,30504.0,300320
8,2018-01-12,12.48,13.1,13.14,12.48,87882.0,300320
9,2018-01-15,13.1,12.35,13.1,12.23,47142.0,300320
10,2018-01-16,12.41,12.06,12.5,12.0,30996.0,300320
11,2018-01-17,12.06,11.35,12.16,11.1,48767.0,300320
12,2018-01-18,11.45,11.74,11.74,11.3,17199.0,300320
13,2018-01-19,11.7,11.58,11.74,11.31,22380.0,300320
14,2018-01-22,11.49,11.51,11.65,11.16,27744.0,300320
15,2018-01-23,11.52,11.45,11.58,11.23,25429.0,300320
16,2018-01-24,11.35,11.26,11.48,11.14,48620.0,300320
17,2018-01-25,11.25,11.01,11.32,11.01,54126.0,300320
18,2018-01-26,11.01,9.91,11.01,9.91,144178.0,300320
19,2018-01-29,9.33,9.0,9.33,8.92,425120.0,300320
20,2018-01-30,8.99,8.41,8.99,8.27,308030.0,300320
21,2018-01-31,8.37,8.23,8.47,8.01,159575.0,300320
22,2018-02-01,8.11,7.86,8.25,7.75,136415.0,300320
23,2018-02-02,7.93,7.93,8.12,7.69,88714.0,300320
24,2018-02-05,7.8,8.08,8.14,7.79,84266.0,300320
25,2018-02-06,7.9,7.27,8.07,7.27,162673.0,300320
26,2018-02-07,7.47,7.36,7.69,6.8,183695.0,300320
27,2018-02-08,7.28,7.6,7.67,7.26,114515.0,300320
28,2018-02-09,7.38,7.4,7.56,7.2,90425.0,300320
29,2018-02-12,7.49,7.59,7.71,7.43,75677.0,300320
30,2018-02-13,7.64,7.74,7.91,7.64,75392.0,300320
31,2018-02-14,7.7,7.7,7.78,7.59,51795.0,300320
32,2018-02-22,7.71,7.87,7.9,7.71,39072.0,300320
33,2018-02-23,7.93,7.76,7.93,7.67,55856.0,300320
34,2018-02-26,7.83,8.0,8.18,7.7,123452.0,300320
35,2018-02-27,8.01,7.96,8.18,7.92,104031.0,300320
