,date,open,close,high,low,volume,code
0,2017-04-17,6.263,7.513,7.513,6.263,39.0,300604
1,2017-04-18,8.264,8.264,8.264,8.264,10.0,300604
2,2017-04-19,9.088,9.088,9.088,9.088,30.0,300604
3,2017-04-20,9.996,9.996,9.996,9.996,24.0,300604
4,2017-04-21,10.994,10.994,10.994,10.994,45.0,300604
5,2017-04-24,12.091,12.091,12.091,12.091,114.0,300604
6,2017-04-25,13.298,13.298,13.298,13.298,89.0,300604
7,2017-04-26,14.627,14.627,14.627,14.627,86.0,300604
8,2017-04-27,16.091,16.091,16.091,16.091,714.0,300604
9,2017-04-28,17.703,17.703,17.703,17.703,518.0,300604
10,2017-05-02,19.472,19.472,19.472,19.472,302.0,300604
11,2017-05-03,21.42,21.42,21.42,21.42,790.0,300604
12,2017-05-04,23.562,23.562,23.562,22.475,116491.0,300604
13,2017-05-05,23.163,24.413,25.919,22.88,115214.0,300604
14,2017-05-08,25.41,23.625,26.145,23.405,76916.0,300604
15,2017-05-09,23.1,24.791,25.384,23.1,62276.0,300604
16,2017-05-10,24.785,25.452,27.232,24.381,82699.0,300604
17,2017-05-11,26.77,27.998,27.998,26.292,89614.0,300604
18,2017-05-12,27.038,28.508,28.508,26.297,82164.0,300604
19,2017-05-15,28.781,27.395,29.589,27.305,73750.0,300604
20,2017-05-16,25.935,26.607,26.775,24.948,70239.0,300604
21,2017-05-17,25.972,25.421,26.486,25.421,49673.0,300604
22,2017-05-18,24.959,24.145,25.914,23.804,47787.0,300604
23,2017-05-19,23.998,23.625,24.465,23.378,28755.0,300604
24,2017-05-22,23.436,22.045,23.835,21.788,42036.0,300604
25,2017-05-23,21.84,21.257,22.365,20.738,42155.0,300604
26,2017-05-24,21.1,22.208,22.507,21.047,35702.0,300604
27,2017-05-25,22.071,21.809,22.071,21.011,23097.0,300604
28,2017-05-26,22.103,22.181,22.727,22.024,23780.0,300604
29,2017-05-31,23.363,22.517,24.402,22.397,54809.0,300604
30,2017-06-01,21.788,20.265,22.465,20.265,39367.0,300604
31,2017-06-02,19.898,20.291,20.727,19.136,28205.0,300604
32,2017-06-05,20.79,20.549,21.147,20.412,20331.0,300604
33,2017-06-06,20.475,19.95,20.475,19.478,15184.0,300604
34,2017-06-07,20.071,20.948,21.0,19.976,26179.0,300604
35,2017-06-08,20.895,20.407,20.995,20.307,19048.0,300604
36,2017-06-09,20.27,20.47,20.47,19.856,16463.0,300604
37,2017-06-12,19.95,18.905,20.144,18.533,26909.0,300604
38,2017-06-13,18.806,19.383,19.525,18.653,18782.0,300604
39,2017-06-14,19.383,19.089,19.383,18.848,13099.0,300604
40,2017-06-15,19.089,20.003,20.197,18.953,23155.0,300604
41,2017-06-16,19.95,19.913,20.029,19.688,10194.0,300604
42,2017-06-19,20.05,19.976,20.517,19.913,12970.0,300604
43,2017-06-20,19.898,19.961,20.202,19.871,11156.0,300604
44,2017-06-21,19.871,19.719,20.134,19.651,10968.0,300604
45,2017-06-22,19.53,18.848,19.819,18.375,15141.0,300604
46,2017-06-23,19.163,18.669,19.163,18.228,10937.0,300604
47,2017-06-26,18.638,18.9,19.005,18.485,6036.0,300604
48,2017-06-27,19.026,19.451,19.667,18.916,14447.0,300604
49,2017-06-28,19.32,19.063,19.367,19.0,6761.0,300604
50,2017-06-29,19.163,19.105,19.315,19.047,4366.0,300604
51,2017-06-30,19.11,19.504,19.887,18.979,16937.0,300604
52,2017-07-03,19.425,20.685,20.942,19.367,25138.0,300604
53,2017-07-04,20.585,20.816,21.158,20.475,18644.0,300604
54,2017-07-05,20.648,20.9,20.99,20.475,15396.0,300604
55,2017-07-06,20.969,21.368,21.751,20.769,23650.0,300604
56,2017-07-07,21.205,22.103,23.363,21.021,22655.0,300604
57,2017-07-10,21.698,20.391,21.845,20.36,23816.0,300604
58,2017-07-11,20.37,20.139,20.895,20.039,10211.0,300604
59,2017-07-12,20.155,20.58,20.685,19.478,11880.0,300604
60,2017-07-13,20.381,19.829,20.496,19.693,9776.0,300604
61,2017-07-14,19.425,18.979,19.53,18.559,18015.0,300604
62,2017-07-17,18.501,17.084,18.68,17.084,16791.0,300604
63,2017-07-18,16.8,16.532,16.958,16.112,16201.0,300604
64,2017-07-19,16.412,16.422,16.496,15.75,13780.0,300604
65,2017-07-20,16.27,16.401,16.795,16.27,11176.0,300604
66,2017-07-21,16.396,16.249,16.643,16.097,7416.0,300604
67,2017-07-24,15.755,16.464,16.601,15.755,8021.0,300604
68,2017-07-25,16.532,16.664,16.9,16.349,7994.0,300604
69,2017-07-26,16.69,16.538,16.79,15.908,8598.0,300604
70,2017-07-27,16.485,17.346,17.378,16.228,13980.0,300604
71,2017-07-28,17.351,16.916,17.367,16.905,6038.0,300604
72,2017-07-31,16.847,17.126,17.294,16.805,6756.0,300604
73,2017-08-01,17.126,17.157,17.257,16.758,5850.0,300604
74,2017-08-02,16.963,17.199,17.588,16.8,11959.0,300604
75,2017-08-03,17.21,17.393,17.987,17.21,11706.0,300604
76,2017-08-04,17.252,16.648,17.572,16.643,9947.0,300604
77,2017-08-07,16.706,16.8,17.01,16.595,4738.0,300604
78,2017-08-08,16.832,16.758,16.842,16.433,5072.0,300604
79,2017-08-09,16.695,16.753,16.8,16.543,3030.0,300604
80,2017-08-10,16.8,16.59,16.905,16.186,5635.0,300604
81,2017-08-11,16.433,16.275,16.433,16.128,5190.0,300604
82,2017-08-14,16.275,16.737,16.916,16.181,6555.0,300604
83,2017-08-15,16.816,16.963,17.22,16.732,8229.0,300604
84,2017-08-16,16.963,17.43,17.619,16.695,10975.0,300604
85,2017-08-17,17.483,17.341,17.572,17.12,8300.0,300604
86,2017-08-18,17.267,16.926,17.267,16.884,4693.0,300604
87,2017-08-21,16.989,17.336,17.362,16.8,11281.0,300604
88,2017-08-22,17.315,16.847,17.666,16.721,16419.0,300604
89,2017-08-23,16.763,16.958,17.052,16.317,14112.0,300604
90,2017-08-24,17.031,17.12,17.551,16.984,17669.0,300604
91,2017-08-25,17.01,18.086,18.265,17.01,23444.0,300604
92,2017-08-28,18.422,19.898,19.898,18.422,30273.0,300604
93,2017-08-29,20.197,19.845,20.879,19.325,42085.0,300604
94,2017-08-30,19.651,19.268,19.94,19.11,22844.0,300604
95,2017-08-31,19.336,21.194,21.194,19.336,40997.0,300604
96,2017-09-01,21.163,20.895,21.168,20.391,37089.0,300604
97,2017-09-04,20.79,21.221,22.155,20.79,39195.0,300604
