,date,open,close,high,low,volume,code
0,2017-01-03,5.313,5.353,5.353,5.294,80410.0,000761
1,2017-01-04,5.363,5.392,5.402,5.333,70355.0,000761
2,2017-01-05,5.392,5.402,5.422,5.363,60262.0,000761
3,2017-01-06,5.392,5.343,5.402,5.343,66128.0,000761
4,2017-01-09,5.343,5.452,5.461,5.323,110126.0,000761
5,2017-01-10,5.432,5.55,5.57,5.422,147023.0,000761
6,2017-01-11,5.531,5.501,5.787,5.501,192382.0,000761
7,2017-01-12,5.531,5.442,5.59,5.442,71921.0,000761
8,2017-01-13,5.452,5.323,5.461,5.294,86019.0,000761
9,2017-01-16,5.323,5.185,5.382,4.938,113480.0,000761
10,2017-01-17,5.155,5.205,5.224,5.096,66069.0,000761
11,2017-01-18,5.224,5.353,5.373,5.185,101623.0,000761
12,2017-01-19,5.323,5.284,5.353,5.264,44310.0,000761
13,2017-01-20,5.284,5.373,5.412,5.264,59213.0,000761
14,2017-01-23,5.402,5.432,5.432,5.363,54976.0,000761
15,2017-01-24,5.422,5.511,5.59,5.382,116764.0,000761
16,2017-01-25,5.54,5.491,5.56,5.461,67059.0,000761
17,2017-01-26,5.491,5.511,5.55,5.471,48158.0,000761
18,2017-02-03,5.491,5.442,5.531,5.363,63450.0,000761
19,2017-02-06,5.412,5.461,5.481,5.373,66171.0,000761
20,2017-02-07,5.452,5.412,5.461,5.353,77320.0,000761
21,2017-02-08,5.382,5.461,5.461,5.373,59314.0,000761
22,2017-02-09,5.452,5.511,5.59,5.442,103558.0,000761
23,2017-02-10,5.55,5.787,5.886,5.511,372318.0,000761
24,2017-02-13,5.817,5.738,5.916,5.718,287590.0,000761
25,2017-02-14,5.738,6.005,6.015,5.718,298645.0,000761
26,2017-02-15,5.975,5.857,5.995,5.837,177157.0,000761
27,2017-02-16,5.857,5.906,5.995,5.807,126642.0,000761
28,2017-02-17,5.876,5.778,5.896,5.718,136777.0,000761
29,2017-02-20,5.768,5.975,5.995,5.768,174871.0,000761
30,2017-02-21,6.024,6.192,6.419,6.015,400836.0,000761
31,2017-02-22,6.173,6.449,6.558,6.123,372579.0,000761
32,2017-02-23,6.37,6.34,6.607,6.331,287137.0,000761
33,2017-02-24,6.4,6.429,6.498,6.182,228482.0,000761
34,2017-02-27,6.41,6.192,6.489,6.173,226266.0,000761
35,2017-02-28,6.222,6.153,6.232,6.015,141261.0,000761
36,2017-03-01,6.123,6.103,6.242,6.064,148047.0,000761
37,2017-03-02,6.143,6.094,6.252,6.094,97656.0,000761
38,2017-03-03,6.024,5.945,6.103,5.916,119892.0,000761
39,2017-03-06,5.965,6.123,6.123,5.965,96237.0,000761
40,2017-03-07,6.143,6.064,6.143,6.034,58156.0,000761
41,2017-03-08,6.074,5.995,6.094,5.896,98273.0,000761
42,2017-03-09,5.995,5.896,5.995,5.847,117242.0,000761
43,2017-03-10,5.886,5.965,6.074,5.886,93543.0,000761
44,2017-03-13,5.995,6.044,6.074,5.906,93823.0,000761
45,2017-03-14,6.054,6.192,6.271,6.024,176605.0,000761
46,2017-03-15,6.192,6.212,6.38,6.143,165212.0,000761
47,2017-03-16,6.212,6.202,6.301,6.113,114785.0,000761
48,2017-03-17,6.163,5.955,6.202,5.936,169248.0,000761
49,2017-03-20,5.965,5.896,5.985,5.807,189505.0,000761
50,2017-03-21,5.857,5.787,5.886,5.758,205654.0,000761
51,2017-03-22,5.758,5.659,5.876,5.61,255104.0,000761
52,2017-03-23,5.679,5.689,5.768,5.629,148134.0,000761
53,2017-03-24,5.699,5.699,5.718,5.639,131448.0,000761
54,2017-03-27,5.699,5.699,5.807,5.619,208229.0,000761
55,2017-03-28,5.699,5.699,5.708,5.649,81150.0,000761
56,2017-03-29,5.689,5.748,5.778,5.669,165151.0,000761
57,2017-03-30,5.728,5.481,5.787,5.452,165675.0,000761
58,2017-03-31,5.491,5.619,5.718,5.491,180218.0,000761
59,2017-04-05,6.173,5.787,6.182,5.699,419728.0,000761
60,2017-04-06,5.738,5.728,5.787,5.669,211817.0,000761
61,2017-04-07,5.699,5.649,5.699,5.61,165461.0,000761
62,2017-04-10,5.6,5.748,5.787,5.59,202100.0,000761
63,2017-04-11,5.728,5.797,5.857,5.699,166251.0,000761
64,2017-04-12,5.758,5.669,5.758,5.659,147109.0,000761
65,2017-04-13,5.669,5.718,5.748,5.659,126706.0,000761
66,2017-04-14,5.738,5.639,5.768,5.619,111093.0,000761
67,2017-04-17,5.639,5.54,5.649,5.471,111298.0,000761
68,2017-04-18,5.54,5.402,5.61,5.402,145570.0,000761
69,2017-04-19,5.402,5.215,5.412,5.126,153764.0,000761
70,2017-04-20,5.205,5.234,5.264,5.155,108961.0,000761
71,2017-04-21,5.244,5.224,5.313,5.205,77214.0,000761
72,2017-04-24,5.205,5.017,5.234,5.007,131878.0,000761
73,2017-04-25,5.037,5.066,5.136,4.968,84731.0,000761
74,2017-04-26,5.066,5.076,5.096,5.027,73025.0,000761
75,2017-04-27,5.047,5.086,5.096,4.958,85892.0,000761
76,2017-04-28,5.057,5.224,5.264,5.057,124331.0,000761
77,2017-05-02,5.215,5.303,5.303,5.195,118482.0,000761
78,2017-05-03,5.264,5.274,5.313,5.234,87986.0,000761
79,2017-05-04,5.215,5.175,5.274,5.165,70544.0,000761
80,2017-05-05,5.126,5.106,5.185,5.096,50836.0,000761
81,2017-05-08,5.136,5.027,5.165,5.017,54566.0,000761
82,2017-05-09,5.017,5.047,5.057,4.978,66398.0,000761
83,2017-05-10,5.047,4.958,5.106,4.938,61720.0,000761
84,2017-05-11,4.958,4.82,4.958,4.711,96777.0,000761
85,2017-05-12,4.829,4.78,4.839,4.75,71270.0,000761
86,2017-05-15,4.79,4.77,4.829,4.75,63618.0,000761
87,2017-05-16,4.77,4.82,4.82,4.583,124747.0,000761
88,2017-05-17,4.78,4.849,4.869,4.77,106214.0,000761
89,2017-05-18,4.81,4.839,4.879,4.78,100560.0,000761
90,2017-05-19,4.81,4.839,4.869,4.79,86100.0,000761
91,2017-05-22,4.839,4.8,4.928,4.78,112557.0,000761
92,2017-05-23,4.81,4.622,4.81,4.602,95670.0,000761
93,2017-05-24,4.553,4.602,4.632,4.464,85479.0,000761
94,2017-05-25,4.602,4.671,4.691,4.504,97355.0,000761
95,2017-05-26,4.632,4.652,4.701,4.632,57255.0,000761
96,2017-05-31,4.701,4.691,4.741,4.671,63155.0,000761
97,2017-06-01,4.671,4.602,4.711,4.583,52229.0,000761
98,2017-06-02,4.543,4.642,4.662,4.523,73313.0,000761
99,2017-06-05,4.632,4.642,4.691,4.622,61265.0,000761
100,2017-06-06,4.642,4.701,4.711,4.612,76970.0,000761
101,2017-06-07,4.701,4.76,4.78,4.671,92041.0,000761
102,2017-06-08,4.741,4.75,4.76,4.711,54505.0,000761
103,2017-06-09,4.741,4.721,4.741,4.681,62627.0,000761
104,2017-06-12,4.701,4.612,4.701,4.563,98184.0,000761
105,2017-06-13,4.592,4.711,4.741,4.592,91243.0,000761
106,2017-06-14,4.721,4.75,4.82,4.691,110884.0,000761
107,2017-06-15,4.75,4.908,4.987,4.731,164057.0,000761
108,2017-06-16,4.908,4.889,4.958,4.869,65907.0,000761
109,2017-06-19,4.889,5.007,5.017,4.879,85703.0,000761
110,2017-06-20,5.037,4.938,5.037,4.918,61657.0,000761
111,2017-06-21,4.968,4.899,4.997,4.889,52850.0,000761
112,2017-06-22,4.899,4.869,4.938,4.869,55306.0,000761
113,2017-06-23,4.869,4.879,4.918,4.82,49531.0,000761
114,2017-06-26,4.869,4.978,5.007,4.859,74862.0,000761
115,2017-06-27,4.978,5.007,5.027,4.958,70344.0,000761
116,2017-06-28,4.997,4.987,5.066,4.978,82099.0,000761
117,2017-06-29,4.997,5.096,5.106,4.978,79239.0,000761
118,2017-06-30,5.057,5.165,5.195,5.047,93728.0,000761
119,2017-07-03,5.175,5.284,5.402,5.106,184615.0,000761
120,2017-07-04,5.284,5.195,5.284,5.165,126031.0,000761
121,2017-07-05,5.195,5.234,5.264,5.195,73891.0,000761
122,2017-07-06,5.244,5.343,5.382,5.215,118969.0,000761
123,2017-07-07,5.323,5.432,5.452,5.303,110680.0,000761
124,2017-07-10,5.718,5.738,5.866,5.531,313245.0,000761
125,2017-07-11,5.807,5.649,5.876,5.57,267538.0,000761
126,2017-07-12,5.59,5.531,5.659,5.353,184583.0,000761
127,2017-07-13,5.501,5.56,5.649,5.452,168205.0,000761
128,2017-07-14,5.461,5.56,5.56,5.442,105504.0,000761
129,2017-07-17,5.61,5.373,5.61,5.175,199091.0,000761
130,2017-07-18,5.284,5.491,5.491,5.284,115297.0,000761
131,2017-07-19,5.461,5.738,5.768,5.461,252223.0,000761
132,2017-07-20,5.748,5.708,5.837,5.669,170877.0,000761
133,2017-07-21,5.679,5.659,5.718,5.6,106681.0,000761
134,2017-07-24,5.659,5.61,5.738,5.57,114361.0,000761
135,2017-07-25,5.61,5.6,5.649,5.491,115566.0,000761
136,2017-07-26,5.6,5.619,5.659,5.55,93049.0,000761
137,2017-07-27,5.639,5.57,5.708,5.521,125753.0,000761
138,2017-07-28,5.58,5.758,5.768,5.501,149981.0,000761
139,2017-07-31,5.827,5.926,6.074,5.807,372573.0,000761
140,2017-08-01,5.936,5.876,6.054,5.837,200433.0,000761
141,2017-08-02,5.876,6.034,6.173,5.866,230298.0,000761
142,2017-08-03,6.005,6.281,6.311,5.985,344963.0,000761
143,2017-08-04,6.419,6.864,6.913,6.34,716431.0,000761
144,2017-08-07,7.229,7.2,7.308,6.528,976353.0,000761
145,2017-08-08,7.002,6.814,7.239,6.666,624663.0,000761
146,2017-08-09,6.765,6.765,6.992,6.449,665152.0,000761
147,2017-08-10,6.617,6.429,6.647,6.34,528733.0,000761
148,2017-08-11,6.291,5.827,6.301,5.787,531535.0,000761
149,2017-08-14,5.886,5.876,6.024,5.768,373814.0,000761
150,2017-08-15,5.906,5.926,5.975,5.758,216213.0,000761
151,2017-08-16,5.926,5.906,5.945,5.847,199439.0,000761
152,2017-08-17,6.024,6.054,6.113,5.945,282889.0,000761
153,2017-08-18,5.975,5.906,6.024,5.857,195066.0,000761
154,2017-08-21,5.926,6.074,6.113,5.926,244356.0,000761
155,2017-08-22,6.054,5.995,6.064,5.945,133421.0,000761
156,2017-08-23,5.886,5.738,5.906,5.728,248054.0,000761
157,2017-08-24,5.758,5.738,5.837,5.718,131550.0,000761
158,2017-08-25,5.797,5.857,5.936,5.787,179678.0,000761
159,2017-08-28,5.768,5.975,5.985,5.758,163226.0,000761
160,2017-08-29,5.975,5.965,6.163,5.926,225363.0,000761
161,2017-08-30,5.945,6.321,6.449,5.945,460937.0,000761
162,2017-08-31,6.331,6.38,6.449,6.212,349901.0,000761
163,2017-09-01,6.429,6.459,6.765,6.39,993829.0,000761
164,2017-09-04,6.597,6.963,7.101,6.597,1457452.0,000761
165,2017-09-05,6.716,6.637,6.775,6.439,872122.0,000761
166,2017-09-06,6.518,6.617,6.785,6.38,594565.0,000761
167,2017-09-07,6.666,6.745,7.002,6.587,843309.0,000761
168,2017-09-08,6.824,6.735,6.923,6.666,642727.0,000761
169,2017-09-11,6.568,6.864,6.884,6.469,607893.0,000761
170,2017-09-12,6.992,6.824,7.061,6.735,734836.0,000761
171,2017-09-13,6.706,6.775,6.884,6.627,548789.0,000761
172,2017-09-14,6.805,6.973,7.456,6.745,1134597.0,000761
173,2017-09-15,6.795,6.291,6.864,6.271,1191829.0,000761
174,2017-09-18,6.173,6.192,6.261,6.084,410853.0,000761
175,2017-09-19,6.232,6.153,6.271,6.103,279993.0,000761
176,2017-09-20,6.153,6.291,6.291,6.103,361491.0,000761
177,2017-09-21,6.291,6.173,6.38,6.163,485110.0,000761
178,2017-09-22,6.044,6.074,6.173,5.827,335765.0,000761
179,2017-09-25,6.005,6.005,6.113,5.965,186036.0,000761
180,2017-09-26,6.054,6.113,6.192,6.005,250608.0,000761
181,2017-09-27,6.163,6.192,6.301,6.133,424444.0,000761
182,2017-09-28,6.182,6.005,6.182,5.995,256888.0,000761
183,2017-09-29,6.015,5.985,6.103,5.955,226566.0,000761
184,2017-10-09,6.103,6.064,6.173,6.034,231301.0,000761
185,2017-10-10,6.064,5.965,6.064,5.926,193471.0,000761
186,2017-10-11,5.975,5.876,5.975,5.837,224565.0,000761
187,2017-10-12,5.866,5.906,5.916,5.738,240654.0,000761
188,2017-10-13,5.896,5.936,5.955,5.827,211376.0,000761
189,2017-10-16,5.945,5.936,6.064,5.866,202783.0,000761
190,2017-10-17,5.857,5.817,5.906,5.787,117443.0,000761
191,2017-10-18,5.797,5.629,5.837,5.619,181248.0,000761
192,2017-10-19,5.58,5.461,5.61,5.422,189134.0,000761
193,2017-10-20,5.452,5.57,5.59,5.452,156604.0,000761
194,2017-10-23,5.54,5.481,5.54,5.422,245279.0,000761
195,2017-10-24,5.501,5.521,5.56,5.461,156773.0,000761
196,2017-10-25,5.531,5.54,5.57,5.491,151905.0,000761
197,2017-10-26,5.511,5.57,5.6,5.481,165324.0,000761
198,2017-10-27,5.511,5.452,5.521,5.422,209144.0,000761
199,2017-10-30,5.432,5.145,5.452,5.136,265325.0,000761
200,2017-10-31,5.126,5.244,5.274,5.126,164481.0,000761
201,2017-11-01,5.274,5.294,5.323,5.224,170564.0,000761
202,2017-11-02,5.264,5.274,5.382,5.244,152515.0,000761
203,2017-11-03,5.244,5.136,5.284,5.106,167625.0,000761
204,2017-11-06,5.165,5.382,5.432,5.076,326292.0,000761
205,2017-11-07,5.363,5.452,5.6,5.333,367384.0,000761
206,2017-11-08,5.402,5.402,5.481,5.363,198981.0,000761
207,2017-11-09,5.452,5.491,5.57,5.432,266652.0,000761
