,date,open,close,high,low,volume,code
0,2018-02-12,65.654,78.781,78.781,65.654,10629.0,603156
1,2018-02-13,78.51,70.901,78.51,70.901,78459.0,603156
2,2018-02-14,63.813,66.815,72.409,63.813,170186.0,603156
3,2018-02-22,64.626,63.292,65.446,61.151,129208.0,603156
4,2018-02-23,62.513,62.736,64.591,61.853,91362.0,603156
5,2018-02-26,63.792,63.507,64.271,62.75,91074.0,603156
6,2018-02-27,62.888,61.52,62.888,61.186,97156.0,603156
7,2018-02-28,59.761,56.919,59.789,56.704,118815.0,603156
8,2018-03-01,55.939,57.197,57.983,55.662,74013.0,603156
9,2018-03-02,56.558,56.211,57.67,56.148,55817.0,603156
10,2018-03-05,56.148,56.37,56.669,55.606,57719.0,603156
11,2018-03-06,56.322,57.017,57.885,56.009,65152.0,603156
12,2018-03-07,56.634,56.134,57.051,55.953,48576.0,603156
13,2018-03-08,55.731,56.273,56.634,55.662,40435.0,603156
14,2018-03-09,56.204,57.288,57.663,56.155,67187.0,603156
15,2018-03-12,57.51,59.08,60.005,56.739,80699.0,603156
16,2018-03-13,58.427,57.35,58.775,57.336,57404.0,603156
17,2018-03-14,57.003,57.649,58.511,56.926,44577.0,603156
18,2018-03-15,57.128,55.655,57.468,54.703,65340.0,603156
19,2018-03-16,56.217,55.495,56.614,55.384,40422.0,603156
20,2018-03-19,55.14,56.072,56.593,54.71,44892.0,603156
21,2018-03-20,55.411,55.446,55.787,54.897,31952.0,603156
22,2018-03-21,55.571,54.925,56.211,54.821,32944.0,603156
23,2018-03-22,55.14,54.181,55.245,54.126,39107.0,603156
24,2018-03-23,52.118,48.768,52.187,48.761,62933.0,603156
25,2018-03-26,47.67,47.9,48.344,45.53,40554.0,603156
26,2018-03-27,48.191,49.831,50.992,48.191,49885.0,603156
27,2018-03-28,48.99,48.643,49.47,48.462,26729.0,603156
28,2018-03-29,48.907,49.956,50.359,48.907,35512.0,603156
29,2018-03-30,50.033,50.033,50.554,49.609,25227.0,603156
30,2018-04-02,51.638,50.478,52.465,50.186,33798.0,603156
31,2018-04-03,49.338,49.067,49.672,48.719,23217.0,603156
32,2018-04-04,49.275,52.979,53.973,49.268,86840.0,603156
33,2018-04-09,52.159,53.417,54.119,51.881,48948.0,603156
34,2018-04-10,53.424,54.932,56.85,53.389,53245.0,603156
35,2018-04-11,54.897,54.195,55.939,54.07,32783.0,603156
36,2018-04-12,53.91,56.252,56.509,53.737,43636.0,603156
37,2018-04-13,56.322,56.009,56.621,55.252,27165.0,603156
38,2018-04-16,61.568,60.303,61.603,59.761,69612.0,603156
39,2018-04-17,60.456,60.019,61.499,58.427,46184.0,603156
40,2018-04-18,60.568,62.346,63.57,59.282,42974.0,603156
41,2018-04-19,61.846,61.763,63.166,61.526,29876.0,603156
42,2018-04-20,62.194,57.559,62.27,57.128,31370.0,603156
43,2018-04-23,57.017,58.462,59.226,56.968,26282.0,603156
44,2018-04-24,58.622,61.339,61.7,58.038,31736.0,603156
45,2018-04-25,60.866,60.158,61.846,59.664,21562.0,603156
46,2018-04-26,60.345,57.746,60.345,57.684,18964.0,603156
47,2018-04-27,57.976,58.059,58.719,56.794,15244.0,603156
48,2018-05-02,58.997,60.651,61.763,58.997,24260.0,603156
49,2018-05-03,60.463,61.026,61.499,59.31,19733.0,603156
50,2018-05-04,61.033,63.382,64.334,61.033,33995.0,603156
51,2018-05-07,64.383,66.627,67.322,62.75,42503.0,603156
52,2018-05-08,68.0,66.67,72.87,65.88,53525.0,603156
53,2018-05-09,66.07,64.11,66.65,63.63,54152.0,603156
54,2018-05-10,63.7,66.76,67.81,63.63,54329.0,603156
55,2018-05-11,66.66,66.43,67.38,65.47,35053.0,603156
56,2018-05-14,65.55,64.95,66.24,63.19,40746.0,603156
57,2018-05-15,64.77,68.66,69.1,63.58,54029.0,603156
58,2018-05-16,68.0,69.04,69.98,67.33,35449.0,603156
59,2018-05-17,68.08,66.75,68.56,66.7,30972.0,603156
60,2018-05-18,67.0,65.99,67.15,64.88,27327.0,603156
61,2018-05-21,66.3,65.44,66.3,64.85,36111.0,603156
62,2018-05-22,65.42,66.32,66.69,64.68,38201.0,603156
63,2018-05-23,65.79,65.29,67.66,65.2,33212.0,603156
64,2018-05-24,65.0,65.14,65.8,64.03,26280.0,603156
65,2018-05-25,64.68,63.9,65.3,63.28,25843.0,603156
66,2018-05-28,63.8,64.19,64.99,62.35,25855.0,603156
67,2018-05-29,64.28,67.01,68.5,64.28,58086.0,603156
68,2018-05-30,65.8,68.01,69.99,64.01,64663.0,603156
69,2018-05-31,67.88,72.73,74.69,67.14,67275.0,603156
70,2018-06-01,72.28,70.7,73.95,69.0,39359.0,603156
71,2018-06-04,70.8,71.08,74.49,70.2,42784.0,603156
72,2018-06-05,71.15,72.14,72.19,69.8,29492.0,603156
73,2018-06-06,71.66,72.98,73.38,70.9,33491.0,603156
74,2018-06-07,73.22,69.88,73.22,69.6,33600.0,603156
75,2018-06-08,69.15,68.84,70.18,67.0,28076.0,603156
76,2018-06-11,68.18,66.72,68.84,65.71,27680.0,603156
77,2018-06-12,66.47,68.62,68.84,66.47,25711.0,603156
78,2018-06-13,68.12,66.54,68.12,64.91,36844.0,603156
79,2018-06-14,65.89,65.75,67.49,65.51,14323.0,603156
80,2018-06-15,65.45,63.36,65.99,62.48,22658.0,603156
81,2018-06-19,62.0,59.85,62.26,57.28,39180.0,603156
82,2018-06-20,59.02,60.69,62.0,59.0,36484.0,603156
83,2018-06-21,60.7,60.73,62.5,60.01,30521.0,603156
84,2018-06-22,59.99,60.65,61.77,57.58,25709.0,603156
85,2018-06-25,61.91,63.09,63.96,61.3,37704.0,603156
