,date,open,close,high,low,volume,code
0,2017-01-03,5.974,6.111,6.225,5.974,83104.0,002478
1,2017-01-04,6.116,6.312,6.348,6.116,93919.0,002478
2,2017-01-05,6.376,6.344,6.421,6.284,84779.0,002478
3,2017-01-06,6.284,6.225,6.339,6.143,52637.0,002478
4,2017-01-09,6.207,6.284,6.321,6.161,29993.0,002478
5,2017-01-10,6.284,6.161,6.353,6.161,44054.0,002478
6,2017-01-11,6.184,6.138,6.202,6.097,34645.0,002478
7,2017-01-12,6.138,6.157,6.275,6.116,39631.0,002478
8,2017-01-13,6.157,6.029,6.216,6.006,39657.0,002478
9,2017-01-16,6.093,5.696,6.093,5.427,52978.0,002478
10,2017-01-17,5.637,5.746,5.765,5.614,23589.0,002478
11,2017-01-18,5.792,5.792,5.869,5.701,26179.0,002478
12,2017-01-19,5.714,5.737,5.815,5.705,13577.0,002478
13,2017-01-20,5.705,5.819,5.865,5.705,17992.0,002478
14,2017-01-23,5.783,5.929,5.952,5.765,38766.0,002478
15,2017-01-24,5.929,5.883,5.974,5.856,14962.0,002478
16,2017-01-25,6.148,6.152,6.371,5.938,47418.0,002478
17,2017-01-26,6.193,6.129,6.23,6.07,18936.0,002478
18,2017-02-03,6.18,6.234,6.294,6.088,21827.0,002478
19,2017-02-06,6.202,6.271,6.271,6.125,26903.0,002478
20,2017-02-07,6.248,6.143,6.271,6.12,26861.0,002478
21,2017-02-08,6.138,6.426,6.471,6.088,70750.0,002478
22,2017-02-09,6.371,6.385,6.435,6.316,37056.0,002478
23,2017-02-10,6.38,6.289,6.421,6.225,41230.0,002478
24,2017-02-13,6.248,6.344,6.426,6.248,35503.0,002478
25,2017-02-14,6.339,6.481,6.558,6.321,61625.0,002478
26,2017-02-15,6.467,6.353,6.476,6.344,47190.0,002478
27,2017-02-16,6.321,6.417,6.439,6.316,24351.0,002478
28,2017-02-17,6.467,6.325,6.476,6.321,19894.0,002478
29,2017-02-20,6.307,6.216,6.316,6.024,49580.0,002478
30,2017-02-21,6.193,6.257,6.307,6.157,19068.0,002478
31,2017-02-22,6.257,6.234,6.303,6.193,18180.0,002478
32,2017-02-23,6.266,6.43,6.462,6.234,40384.0,002478
33,2017-02-24,6.385,6.335,6.417,6.294,28371.0,002478
34,2017-02-27,6.33,6.367,6.485,6.312,41960.0,002478
35,2017-02-28,6.421,6.353,6.453,6.307,23391.0,002478
36,2017-03-01,6.33,6.467,6.49,6.225,51090.0,002478
37,2017-03-02,6.471,6.362,6.494,6.339,29525.0,002478
38,2017-03-03,6.339,6.325,6.403,6.294,21692.0,002478
39,2017-03-06,6.298,6.563,6.585,6.298,54397.0,002478
40,2017-03-07,7.219,7.219,7.219,7.092,70996.0,002478
41,2017-03-08,7.525,7.146,7.525,7.114,286615.0,002478
42,2017-03-09,7.069,7.247,7.32,6.891,176306.0,002478
43,2017-03-10,7.174,7.297,7.47,7.169,159815.0,002478
44,2017-03-13,7.297,7.306,7.402,7.165,98642.0,002478
45,2017-03-14,7.301,7.206,7.315,7.187,70917.0,002478
46,2017-03-15,7.206,7.224,7.269,7.142,46331.0,002478
47,2017-03-16,7.242,7.324,7.379,7.242,72828.0,002478
48,2017-03-17,7.342,7.561,7.753,7.297,146672.0,002478
49,2017-03-20,7.903,7.762,8.314,7.712,162212.0,002478
50,2017-03-21,7.716,7.634,7.881,7.612,120621.0,002478
51,2017-03-22,7.607,7.566,7.671,7.484,97286.0,002478
52,2017-03-23,7.58,7.607,7.648,7.438,90437.0,002478
53,2017-03-24,7.534,7.57,7.616,7.47,47941.0,002478
54,2017-03-27,7.575,7.707,7.835,7.575,77412.0,002478
55,2017-03-28,7.73,7.744,7.785,7.57,62346.0,002478
56,2017-03-29,7.716,7.844,7.972,7.716,106841.0,002478
57,2017-03-30,7.84,7.42,7.899,7.402,118071.0,002478
58,2017-03-31,7.502,7.612,7.639,7.402,59661.0,002478
59,2017-04-05,7.539,7.612,7.639,7.539,50420.0,002478
60,2017-04-06,7.612,7.543,7.616,7.516,46095.0,002478
61,2017-04-07,7.525,7.329,7.525,7.297,73011.0,002478
62,2017-04-10,7.297,7.178,7.397,7.114,54699.0,002478
63,2017-04-11,7.178,7.315,7.338,7.128,39405.0,002478
64,2017-04-12,7.306,7.238,7.365,7.233,30027.0,002478
65,2017-04-13,7.256,7.233,7.365,7.233,29147.0,002478
66,2017-04-14,7.233,7.073,7.274,7.032,40337.0,002478
67,2017-04-17,7.023,7.096,7.146,6.937,22033.0,002478
68,2017-04-18,7.064,6.927,7.142,6.927,25499.0,002478
69,2017-04-19,7.11,7.073,7.178,6.969,59552.0,002478
70,2017-04-20,7.114,6.918,7.142,6.809,61051.0,002478
71,2017-04-21,6.918,7.087,7.105,6.891,42253.0,002478
72,2017-04-24,7.037,6.946,7.073,6.845,48455.0,002478
73,2017-04-25,6.978,6.813,7.114,6.777,85494.0,002478
74,2017-04-26,6.364,6.13,6.55,6.13,182234.0,002478
75,2017-04-27,6.178,6.218,6.276,5.846,130355.0,002478
76,2017-04-28,6.11,6.061,6.159,6.012,78964.0,002478
77,2017-05-02,6.081,5.934,6.09,5.934,63970.0,002478
78,2017-05-03,5.934,5.973,6.003,5.836,91007.0,002478
79,2017-05-04,6.1,6.178,6.296,6.022,127171.0,002478
80,2017-05-05,6.178,5.885,6.178,5.866,92670.0,002478
81,2017-05-08,5.895,5.563,5.915,5.445,86680.0,002478
82,2017-05-09,5.523,5.543,5.621,5.348,81830.0,002478
83,2017-05-10,5.533,5.387,5.602,5.357,55320.0,002478
84,2017-05-11,5.357,5.211,5.436,5.172,81760.0,002478
85,2017-05-12,5.23,5.22,5.25,5.162,50801.0,002478
86,2017-05-15,5.25,5.26,5.299,5.211,39062.0,002478
87,2017-05-16,5.26,5.455,5.475,5.201,58636.0,002478
88,2017-05-17,5.465,5.572,5.817,5.455,89129.0,002478
89,2017-05-18,5.592,5.699,5.827,5.494,76769.0,002478
90,2017-05-19,5.758,5.719,5.807,5.641,55141.0,002478
91,2017-05-22,5.67,5.504,5.748,5.494,60022.0,002478
92,2017-05-23,5.494,5.396,5.553,5.396,43057.0,002478
93,2017-05-24,5.396,5.396,5.416,5.191,46410.0,002478
94,2017-05-25,5.396,5.934,5.934,5.396,237642.0,002478
95,2017-05-26,5.817,5.768,5.963,5.758,158083.0,002478
96,2017-05-31,5.778,5.758,5.836,5.699,90780.0,002478
97,2017-06-01,5.748,5.543,5.787,5.543,63304.0,002478
98,2017-06-02,5.475,5.641,5.66,5.396,75588.0,002478
