,0
2018-01-02,0.0
2018-01-03,0.0052800000000001734
2018-01-04,0.003103612923762711
2018-01-05,0.0038080126933757175
2018-01-08,0.004030664664506078
2018-01-09,0.00802896725440827
2018-01-10,0.004216773387474726
2018-01-11,-0.0013996889580094596
2018-01-12,0.0053729948606136
2018-01-15,-0.001858880024784959
2018-01-16,0.010010087685264013
2018-01-17,-0.0029963122311000845
2018-01-18,0.006472990675811197
2018-01-19,0.002756297373861072
2018-01-22,0.012598304955333317
2018-01-23,-0.0004524204494044115
2018-01-24,0.0006789378394689294
2018-01-25,-0.006332453825857454
2018-01-26,0.00500720734390403
2018-01-29,-0.018796708688759822
2018-01-30,-0.010155408524388232
2018-01-31,0.003031245142235184
2018-02-01,-0.006974041069352843
2018-02-02,0.00608661724541526
2018-02-05,-0.000930737609555643
2018-02-06,-0.027948140672307997
2018-02-07,-0.023480552671511723
2018-02-08,-0.008096834873640324
2018-02-09,-0.04576187335092352
2018-02-12,0.014257323079581719
2018-02-13,0.012012267848015012
2018-02-14,0.008839127872716457
2018-02-22,0.020527369826435438
2018-02-23,0.005396565821749633
2018-02-26,0.012687052700065093
2018-02-27,-0.014214584002569919
2018-02-28,-0.010020366598778141
2018-03-01,0.0071593153390387965
2018-03-02,-0.006618187760437655
2018-03-05,-0.002220759993420196
2018-03-06,0.0148380183002228
2018-03-07,-0.008041588823003876
2018-03-08,0.010072060268588423
2018-03-09,0.007296311309282544
2018-03-12,0.0028973843058348603
2018-03-13,-0.010593050316989205
2018-03-14,-0.003406602319733665
2018-03-15,0.007324814844957839
2018-03-16,-0.010907328108588521
2018-03-19,0.005391275935304529
2018-03-20,-0.00048748781280461007
2018-03-21,-0.005121118517314449
2018-03-22,-0.00882425034725054
2018-03-23,-0.029428736295441515
2018-03-26,-0.0045863767623574025
2018-03-27,0.00895904436860051
2018-03-28,-0.02004228329809732
2018-03-29,0.01812219537452542
2018-03-30,-0.0015256823190369362
2018-04-02,-0.003310696095076504
2018-04-03,-0.0063878715611958015
2018-04-04,-0.002571575518601099
2018-04-09,0.0012891027844619263
2018-04-10,0.01931164706892119
2018-04-11,0.0012630515325025016
2018-04-12,-0.010343957615003063
2018-04-13,-0.006883072739632845
2018-04-16,-0.015658423889791995
2018-04-17,-0.014603616133518682
2018-04-18,0.0021171489061397875
2018-04-19,0.013996478873239182
2018-04-20,-0.015365917180310662
2018-04-23,0.004232057838123637
2018-04-24,0.02080772607550485
2018-04-25,-0.005934462888105396
2018-04-26,-0.01972659629693696
2018-04-27,0.0021182700794348808
2018-05-02,0.003170688744055017
2018-05-03,0.0057945566286217165
2018-05-04,-0.004713687150838086
2018-05-07,0.016049815821785884
2018-05-08,0.01294777729823049
2018-05-09,-0.0028121005538987998
2018-05-10,0.006665527260297566
2018-05-11,-0.005857385398981396
2018-05-14,0.008709760054649296
2018-05-15,0.0038093625666637543
2018-05-16,-0.00809580030359247
2018-05-17,-0.00841693589525594
2018-05-18,0.01080339535282504
2018-05-21,0.004835015692594924
2018-05-22,-0.004052000675333622
2018-05-23,-0.012968299711815345
2018-05-24,-0.007986260197509809
2018-05-25,-0.0023372576177284055
2018-05-28,0.006247288503253623
2018-05-29,-0.009312753298266752
2018-05-30,-0.018800591870484884
2018-05-31,0.020225317129424436
2018-06-01,-0.006782018954873625
2018-06-04,0.009717237153112013
2018-06-05,0.008323218311080405
2018-06-06,-0.0018056749785038129
2018-06-07,-0.00025842019123090143
2018-06-08,-0.013182836463898173
2018-06-11,0.0026194010302977855
2018-06-12,0.009927719237133203
2018-06-13,-0.010088816073122175
2018-06-14,-0.002613240418118612
2018-06-15,-0.0015720524017467374
2018-06-19,-0.03411476557032889
2018-06-20,0.0
2018-06-21,-0.008150697337438895
2018-06-22,0.0043827611395179655
2018-06-25,-0.013909090909090871
2018-06-26,-0.009680095879044948
2018-06-27,-0.023459318562651266
2018-06-28,-0.0057197330791229906
2018-06-29,0.026174496644295164
2018-07-02,-0.02634775296645786
2018-07-03,-0.003742443143652352
2018-07-04,-0.010402619919090639
2018-07-05,-0.008175978197391354
2018-07-06,0.008537782139351968
2018-07-09,0.028899484285297206
2018-07-10,0.00255343294874244
2018-07-11,-0.01641354589189703
2018-07-12,0.02388031073175423
2018-07-13,0.0016860247283625451
2018-07-16,-0.004207967084346564
2018-07-17,-0.006197765048361226
2018-07-18,-0.004535575923650836
2018-07-19,0.000569530137636276
2018-07-20,0.01906839958258222
2018-07-23,0.00642338484453564
2018-07-24,0.018314679493108832
2018-07-25,-0.00027250431465186686
2018-07-26,-0.012811193894239459
2018-07-27,-0.002485043718361779
2018-07-30,-0.005536076766931131
2018-07-31,0.0036184820931528527
2018-08-01,-0.02218729777202555
2018-08-02,-0.02212347546563309
2018-08-03,-0.013922459634535533
2018-08-06,-0.010295126973232427
2018-08-07,0.027640182286506665
2018-08-08,-0.014460618914489576
2018-08-09,0.023769930548762863
2018-08-10,0.0017198547678196618
2018-08-13,-0.004292254864555534
2018-08-14,-0.004310757735415449
2018-08-15,-0.02366750048104671
2018-08-16,-0.004138746551044514
2018-08-17,-0.015139521076588003
2018-08-20,0.010549583040289079
2018-08-21,0.017001391926824372
2018-08-22,-0.001759702805747998
2018-08-23,0.002938008030554995
2018-08-24,0.0014647007128210099
2018-08-27,0.024863494539781872
2018-08-28,-0.002854152792312825
2018-08-29,-0.003721018986738045
2018-08-30,-0.009768243631488094
2018-08-31,-0.0075435203094779135
2018-09-03,-0.0020463847203275876
2018-09-04,0.011717605702568301
2018-09-05,-0.02026831386931749
