code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603838,四通股份,陶瓷,广东,0.0,2.67,3.2,14.12,6.95,3.1,4.14,1.29,-0.002,3.32,3.19,20150701,2.92,0.91,-37.57,-101.86,27.12,-0.45,14129.0
002624,完美世界,影视音像,浙江,29.05,17.9,19.4,161.24,92.77,3.59,23.28,1.2,0.317,5.23,7.03,20111028,62.92,3.24,26.09,26.41,62.37,23.86,74358.0
300618,寒锐钴业,小金属,江苏,278.75,1.88,3.03,35.11,18.36,4.17,3.22,1.06,0.08,6.46,12.97,20170306,9.71,3.2,-1.38,141.13,17.33,4.45,40121.0
000727,*ST东科,元器件,江苏,0.0,29.31,45.3,209.81,28.13,150.68,65.73,1.45,-0.10099999999999999,0.81,3.05,19970520,-75.14,-1.66,-17.47,-58.35,-33.75,-44.32,168024.0
600172,黄河旋风,矿物制品,河南,0.0,12.24,14.42,112.76,40.85,49.12,18.0,1.25,-0.035,2.88,1.13,19981126,8.8,0.61,-46.37,-426.6,27.17,-12.33,80918.0
300503,昊志机电,机械基件,广东,85.68,1.88,2.84,19.45,9.45,5.04,3.63,1.28,0.049,3.2,5.3,20160309,2.11,0.74,115.1,542.5,49.39,8.21,12063.0
603535,嘉诚国际,仓储物流,广东,27.96,1.5,1.5,22.47,12.14,3.21,6.31,4.19,0.54,11.06,2.73,20170808,7.84,5.21,-7.03,14.2,24.35,16.3,12613.0
300839,博汇股份,石油加工,浙江,43.99,0.26,1.04,12.62,4.73,0.15,0.76,0.74,0.177,7.95,3.93,20200630,2.5,2.4,0.0,0.0,22.36,10.21,18465.0
600966,博汇纸业,造纸,山东,25.67,13.37,13.37,192.56,57.88,118.97,13.33,1.0,0.139,4.08,3.49,20040608,25.7,1.92,20.09,51.41,21.66,7.11,44007.0
601099,太平洋,证券,云南,82.3,68.16,68.16,319.35,0.0,2.44,27.98,0.41,0.013999999999999999,1.53,3.1,20071228,-1.82,-0.03,-53.69,-72.28,0.0,29.93,353323.0
600595,ST中孚,铝,河南,0.0,17.42,19.61,217.79,44.26,126.5,38.09,1.94,-0.047,1.69,1.04,20020626,-27.11,-1.38,-15.92,39.5,14.64,-6.77,91724.0
600132,重庆啤酒,啤酒,重庆,82.95,4.84,4.84,34.84,18.07,10.82,0.0,0.0,0.508,2.04,41.4,19971030,2.78,0.57,-4.45,3.06,41.2,14.05,15318.0
000750,国海证券,证券,广西,26.36,54.45,54.45,724.5,0.0,1.46,89.9,1.65,0.055,3.36,1.73,19970709,16.35,0.3,6.39,20.07,0.0,29.23,194214.0
002392,北京利尔,其他建材,北京,17.14,8.32,11.9,54.53,39.42,6.6,9.88,0.83,0.081,3.28,1.7,20100423,16.02,1.35,31.78,21.44,21.97,9.29,72432.0
300851,交大思诺,软件服务,北京,118.7,0.22,0.87,6.42,4.86,0.82,1.52,1.75,0.10400000000000001,12.4,3.97,20200717,2.96,3.4,0.0,0.0,71.25,16.39,46312.0
600491,龙元建设,建筑工程,浙江,19.49,15.3,15.3,590.98,296.12,5.13,40.47,2.65,0.121,7.07,1.33,20040524,42.37,2.77,-19.27,-29.55,11.71,3.91,40131.0
000576,广东甘化,综合类,广东,78.89,4.28,4.43,15.07,4.64,0.6,7.57,1.71,0.07400000000000001,2.61,4.48,19940907,-0.9,-0.2,13.33,31.21,39.34,14.58,32473.0
