,a1,a2,a3,a4,a5,result
0,4509,2611,840,8327,4854,0.20529001068966277
1,1009,9357,2562,5547,7234,0.13382638318656995
2,7387,968,1470,6534,5137,0.12027153992784023
3,8747,7823,6333,9202,3867,0.18336736742042417
4,7239,203,3911,4273,9252,0.0689196889801249
5,6708,2085,3963,7336,9492,0.1490343513874224
6,6653,9357,6810,6836,9706,0.15836815832849596
7,5964,9766,6315,2371,5051,0.12270861340298482
8,7077,6934,3201,8247,1906,0.2922775362888511
9,8377,3712,9995,3329,6578,0.1583681583284961
10,3230,5649,7440,5772,920,0.11979283373129504
11,9837,5912,3463,5923,8025,0.15836815832849596
12,9673,8599,8652,7440,2695,0.12318816936113525
13,8016,2949,7856,8888,3785,0.2583991519288942
14,9490,7593,7315,2361,9025,0.15836815832849596
15,7987,7820,8499,6470,2134,0.1294917268415062
16,599,8507,3648,1430,2340,0.12318816936113525
17,1742,4838,9609,5201,3423,0.13445734257834482
18,1905,9979,5150,8513,622,0.28049784257908505
19,1740,9393,8277,4491,632,0.16490339585460448
20,7219,6848,3873,7403,4772,0.13382638318656995
21,3467,391,7214,4494,2363,0.22476058759053177
22,3565,2074,1156,2934,5642,0.15836815832849596
23,6719,4139,7066,3427,9095,0.1583681583284961
24,7456,6292,4627,2980,8141,0.15836815832849596
25,7797,4873,7141,6128,8232,0.1583681583284961
26,7057,8363,5623,7782,8388,0.15836815832849596
27,9459,6608,8296,8034,6278,0.13382638318656995
28,5223,2389,7786,5854,6274,0.1583681583284961
29,5633,846,3353,3486,5520,0.1490343513874224
30,212,6521,7887,8842,4792,0.19475626624590586
31,7126,1258,7491,401,6952,0.11520264925873801
32,8503,1566,9423,156,1002,0.1689597947965064
33,8378,6548,4773,4164,8418,0.15836815832849596
34,9947,9141,7974,3566,450,0.14672081660026004
35,4121,2937,322,508,9047,0.11520264925873794
36,2982,7952,5941,317,9009,0.15836815832849596
37,5788,2604,2836,4394,3287,0.1373794553092869
38,1687,3743,5910,1291,5910,0.1583681583284961
39,2387,3578,7784,4670,3597,0.14799967941832176
40,9878,2259,8369,3656,3500,0.14799967941832176
41,4195,9157,1892,5037,1497,0.19600981270976153
42,3666,595,6388,6487,8084,0.1490343513874224
43,1493,2673,3631,8989,4489,0.21573439536634256
44,4248,3658,3636,8063,1656,0.2941758092252983
45,7724,3027,4047,6575,4482,0.1373794553092869
46,6740,4639,4414,4451,1075,0.17810605319579317
47,3704,3632,7207,1992,9896,0.1583681583284961
48,1162,8877,4986,4515,5762,0.13382638318656995
