nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277
第45次尝试:a1 = 4248, a2 = 3658, a3 = 3636, a4 = 8063, a5 = 1656, 年化收益率: 0.2941758092252983

第46次尝试:a1 = 7724, a2 = 3027, a3 = 4047, a4 = 6575, a5 = 4482, 年化收益率: 0.1373794553092869

第47次尝试:a1 = 6740, a2 = 4639, a3 = 4414, a4 = 4451, a5 = 1075, 年化收益率: 0.17810605319579317

第48次尝试:a1 = 3704, a2 = 3632, a3 = 7207, a4 = 1992, a5 = 9896, 年化收益率: 0.1583681583284961

第49次尝试:a1 = 1162, a2 = 8877, a3 = 4986, a4 = 4515, a5 = 5762, 年化收益率: 0.13382638318656995

第50次尝试:a1 = 5909, a2 = 624, a3 = 28, a4 = 3285, a5 = 2899, 年化收益率: 0.12027153992784023

第51次尝试:a1 = 6941, a2 = 7044, a3 = 2626, a4 = 2848, a5 = 4598, 年化收益率: 0.13382638318656995

第52次尝试:a1 = 2932, a2 = 2038, a3 = 2927, a4 = 4018, a5 = 6462, 年化收益率: 0.15836815832849596

第53次尝试:a1 = 3368, a2 = 1726, a3 = 2773, a4 = 1008, a5 = 96, 年化收益率: 0.14672081660026004

第54次尝试:a1 = 6513, a2 = 1035, a3 = 4969, a4 = 9564, a5 = 4511, 年化收益率: 0.28496325703309927

第55次尝试:a1 = 8669, a2 = 9212, a3 = 1503, a4 = 1685, a5 = 9567, 年化收益率: 0.15836815832849596

第56次尝试:a1 = 2659, a2 = 8354, a3 = 1143, a4 = 8026, a5 = 7698, 年化收益率: 0.15836815832849596

第57次尝试:a1 = 5904, a2 = 7172, a3 = 9849, a4 = 4287, a5 = 6654, 年化收益率: 0.14799967941832176

第58次尝试:a1 = 9942, a2 = 1616, a3 = 1686, a4 = 184, a5 = 5589, 年化收益率: 0.11520264925873794

第59次尝试:a1 = 1344, a2 = 9235, a3 = 7966, a4 = 341, a5 = 6759, 年化收益率: 0.13382638318656995

第60次尝试:a1 = 814, a2 = 2609, a3 = 914, a4 = 39, a5 = 8962, 年化收益率: 0.11520264925873801

第61次尝试:a1 = 2182, a2 = 8279, a3 = 4097, a4 = 2165, a5 = 7542, 年化收益率: 0.15836815832849596

第62次尝试:a1 = 9903, a2 = 1068, a3 = 7389, a4 = 5142, a5 = 8122, 年化收益率: 0.11520264925873794

第63次尝试:a1 = 3329, a2 = 3295, a3 = 9681, a4 = 4593, a5 = 6597, 年化收益率: 0.1583681583284961

第64次尝试:a1 = 5525, a2 = 2623, a3 = 1030, a4 = 1201, a5 = 4704, 年化收益率: 0.1583681583284961

第65次尝试:a1 = 6245, a2 = 2764, a3 = 2332, a4 = 860, a5 = 2851, 年化收益率: 0.15836815832849596

第66次尝试:a1 = 1266, a2 = 9843, a3 = 5618, a4 = 1947, a5 = 1947, 年化收益率: 0.1294917268415062

第67次尝试:a1 = 4085, a2 = 6469, a3 = 6368, a4 = 3928, a5 = 4562, 年化收益率: 0.13382638318656995

第68次尝试:a1 = 5361, a2 = 9736, a3 = 6203, a4 = 8059, a5 = 5156, 年化收益率: 0.16619065976933334

第69次尝试:a1 = 6528, a2 = 6931, a3 = 9817, a4 = 6182, a5 = 3540, 年化收益率: 0.11810234378658115

第70次尝试:a1 = 7503, a2 = 4247, a3 = 5016, a4 = 6309, a5 = 7238, 年化收益率: 0.1583681583284961

第71次尝试:a1 = 3180, a2 = 7470, a3 = 1337, a4 = 31, a5 = 62, 年化收益率: 0.16832369587909657

第72次尝试:a1 = 9242, a2 = 9380, a3 = 5978, a4 = 1648, a5 = 6551, 年化收益率: 0.13382638318656995

第73次尝试:a1 = 5430, a2 = 9534, a3 = 724, a4 = 2038, a5 = 1867, 年化收益率: 0.18479270941653467

第74次尝试:a1 = 8010, a2 = 9660, a3 = 8114, a4 = 6713, a5 = 8317, 年化收益率: 0.13382638318656995

第75次尝试:a1 = 738, a2 = 2926, a3 = 1502, a4 = 9209, a5 = 9751, 年化收益率: 0.12027153992784023

第76次尝试:a1 = 3520, a2 = 5205, a3 = 5178, a4 = 3937, a5 = 6649, 年化收益率: 0.15836815832849596

第77次尝试:a1 = 2320, a2 = 3773, a3 = 8828, a4 = 9966, a5 = 7648, 年化收益率: 0.1373794553092869

第78次尝试:a1 = 4184, a2 = 6743, a3 = 5504, a4 = 9905, a5 = 2670, 年化收益率: 0.24414982241651575

第79次尝试:a1 = 109, a2 = 4470, a3 = 7790, a4 = 9875, a5 = 3782, 年化收益率: 0.24998233557695063

第80次尝试:a1 = 383, a2 = 4847, a3 = 840, a4 = 5349, a5 = 2158, 年化收益率: 0.18336736742042417

第81次尝试:a1 = 2624, a2 = 6537, a3 = 3612, a4 = 6412, a5 = 9116, 年化收益率: 0.1583681583284961

